time_sec,best_angle_rad,best_angle_deg,detected,weld_status,cmd_linear_x,cmd_angular_z,right_encoder_ticks,delta_encoder_ticks,delta_distance_m,total_distance_m,weld_found_count,no_weld_count,t_junction_count,timeout_count,error_count,unknown_status_count
0.028013229370117188,nan,nan,0,UNKNOWN,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0
0.047505855560302734,nan,nan,0,UNKNOWN,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0
0.06741523742675781,nan,nan,0,UNKNOWN,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0
0.08737778663635254,nan,nan,0,UNKNOWN,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0
0.1074061393737793,nan,nan,0,UNKNOWN,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0
0.1273813247680664,nan,nan,0,UNKNOWN,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0
0.14749598503112793,nan,nan,0,UNKNOWN,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0
0.16740202903747559,nan,nan,0,UNKNOWN,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0
0.1873915195465088,nan,nan,0,UNKNOWN,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0
0.20739412307739258,nan,nan,0,UNKNOWN,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0
0.2273714542388916,nan,nan,0,UNKNOWN,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0
0.2475128173828125,nan,nan,0,UNKNOWN,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0
0.26741552352905273,nan,nan,0,UNKNOWN,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0
0.28738975524902344,nan,nan,0,UNKNOWN,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0
0.307387113571167,nan,nan,0,UNKNOWN,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0
0.3273799419403076,nan,nan,0,UNKNOWN,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0
0.34751391410827637,nan,nan,0,UNKNOWN,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0
0.36743807792663574,nan,nan,0,UNKNOWN,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0
0.3874526023864746,-0.12885433435440063,-7.382809530474727,1,WELD_FOUND,0.005,0.04455419974031485,0,0,0.0,0.0,4,0,0,0,0,0
0.4074091911315918,-0.12885433435440063,-7.382809530474727,1,WELD_FOUND,0.005,0.04455419974031485,0,0,0.0,0.0,4,0,0,0,0,0
0.427379846572876,-0.12885433435440063,-7.382809530474727,1,WELD_FOUND,0.005,0.04455419974031485,0,0,0.0,0.0,4,0,0,0,0,0
0.4474828243255615,-0.12885433435440063,-7.382809530474727,1,WELD_FOUND,0.005,0.04455419974031485,0,0,0.0,0.0,4,0,0,0,0,0
0.4674196243286133,-0.17180579900741577,-9.843747178997832,1,WELD_FOUND,0.005,0.04595170773269682,0,0,0.0,0.0,5,0,0,0,0,0
0.4874129295349121,-0.17180579900741577,-9.843747178997832,1,WELD_FOUND,0.005,0.04595170773269682,0,0,0.0,0.0,5,0,0,0,0,0
0.5073885917663574,-0.17180579900741577,-9.843747178997832,1,WELD_FOUND,0.005,0.04595170773269682,0,0,0.0,0.0,5,0,0,0,0,0
0.5273809432983398,-0.17180579900741577,-9.843747178997832,1,WELD_FOUND,0.005,0.04595170773269682,0,0,0.0,0.0,5,0,0,0,0,0
0.5474209785461426,-0.17180579900741577,-9.843747178997832,1,WELD_FOUND,0.005,0.04595170773269682,0,0,0.0,0.0,5,0,0,0,0,0
0.5673906803131104,-0.15339802205562592,-8.789059249442081,1,WELD_FOUND,0.005,0.045965247509495016,0,0,0.0,0.0,6,0,0,0,0,0
0.5874118804931641,-0.15339802205562592,-8.789059249442081,1,WELD_FOUND,0.005,0.045965247509495016,0,0,0.0,0.0,6,0,0,0,0,0
0.6073825359344482,-0.15339802205562592,-8.789059249442081,1,WELD_FOUND,0.005,0.045965247509495016,0,0,0.0,0.0,6,0,0,0,0,0
0.6273760795593262,-0.15339802205562592,-8.789059249442081,1,WELD_FOUND,0.005,0.045965247509495016,0,0,0.0,0.0,6,0,0,0,0,0
