t,vx,wz,tgt_r,tgt_l,spd_r,spd_l,err_r,err_l,ticks_r,ticks_l,dist_r,dist_l,raw_angle,filtered_angle,error,weld,ff_r,ff_l,kickstart_r,kickstart_l,holding_r,holding_l,manual_pwm_mode,surface_mode
2.117,0.04800411180043986,-0.05,0.04050411180043986,0.05550411180043986,0.0,0.0,0.0405,0.0555,0,0,0.0,0.0,1.4062534542270564,1.4062534542270564,0.0,WELD_FOUND,0.0,0.0,True,True,False,False,False,vertical
2.167,0.04800411180043986,-0.05,0.04050411180043986,0.05550411180043986,0.0,0.0,0.0405,0.0555,0,0,0.0,0.0,1.4062534542270564,1.4062534542270564,0.0,WELD_FOUND,0.0,0.0,True,True,False,False,False,vertical
2.217,0.04800411180043986,-0.09817501157522203,0.03327786006415656,0.06273036353672316,0.0037,0.0,0.0296,0.0627,1,0,0.0009,0.0,1.4062534542270564,1.4062534542270564,0.0,WELD_FOUND,0.5186,0.0,False,True,False,False,False,vertical
2.267,0.04800411180043986,-0.09817501157522203,0.03327786006415656,0.06273036353672316,0.0037,0.0,0.0296,0.0627,1,0,0.0009,0.0,1.4062534542270564,1.4062534542270564,0.0,WELD_FOUND,0.5186,0.0,False,True,False,False,False,vertical
2.605,0.04800411180043986,-0.09817501157522203,0.03327786006415656,0.06273036353672316,0.0037,0.0,0.0296,0.0627,5,0,0.0046,0.0,0.7031284346608206,1.4062534542270564,-0.7031250195662357,WELD_FOUND,0.5186,0.0,False,True,False,False,False,vertical
2.617,0.04863458622282969,-0.05,0.04113458622282969,0.05613458622282969,0.0241,0.0,0.017,0.0561,24,0,0.0222,0.0,1.4062534542270564,1.4062534542270564,0.0,WELD_FOUND,0.6122,0.6816,False,False,False,False,False,vertical
2.667,0.04863458622282969,-0.05,0.04113458622282969,0.05613458622282969,0.0241,0.0,0.017,0.0561,24,0,0.0222,0.0,1.4062534542270564,1.4062534542270564,0.0,WELD_FOUND,0.6122,0.6816,False,False,False,False,False,vertical
2.717,0.0,0.0,0.0,0.0,0.0514,0.0,-0.0514,0.0,35,0,0.0324,0.0,1.4062534542270564,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
2.767,0.0,0.0,0.0,0.0,0.0514,0.0,-0.0514,0.0,35,0,0.0324,0.0,1.4062534542270564,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
2.817,0.0,0.0,0.0,0.0,0.0514,0.0,-0.0514,0.0,36,0,0.0334,0.0,1.4062534542270564,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
2.867,0.0,0.0,0.0,0.0,0.0333,0.0,-0.0333,0.0,36,0,0.0334,0.0,1.4062534542270564,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
2.917,0.0,0.0,0.0,0.0,0.0333,0.0,-0.0333,0.0,36,0,0.0334,0.0,1.4062534542270564,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
2.967,0.0,0.0,0.0,0.0,0.0333,0.0,-0.0333,0.0,36,0,0.0334,0.0,1.4062534542270564,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.017,0.0,0.0,0.0,0.0,0.0267,0.0,-0.0267,0.0,36,0,0.0334,0.0,1.4062534542270564,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.067,0.0,0.0,0.0,0.0,0.0267,0.0,-0.0267,0.0,36,0,0.0334,0.0,1.4062534542270564,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.117,0.0,0.0,0.0,0.0,0.0213,0.0,-0.0213,0.0,36,0,0.0334,0.0,1.4062534542270564,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.167,0.0,0.0,0.0,0.0,0.0213,0.0,-0.0213,0.0,36,0,0.0334,0.0,1.4062534542270564,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.217,0.0,0.0,0.0,0.0,0.0213,0.0,-0.0213,0.0,36,0,0.0334,0.0,1.4062534542270564,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.269,0.0,0.0,0.0,0.0,0.0171,0.0,-0.0171,0.0,36,0,0.0334,0.0,1.4062534542270564,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.317,0.056180683586567914,-0.05,0.048680683586567915,0.06368068358656792,0.0171,0.0,0.0316,0.0637,36,0,0.0334,0.0,0.7031284346608206,0.7031284346608206,0.0,WELD_FOUND,0.6471,0.7166,False,False,False,False,False,vertical
3.367,0.056180683586567914,-0.05,0.048680683586567915,0.06368068358656792,0.0136,0.0,0.035,0.0637,36,0,0.0334,0.0,0.7031284346608206,0.7031284346608206,0.0,WELD_FOUND,0.6471,0.7166,False,False,False,False,False,vertical
3.417,0.0578931221024575,-0.03556617645630134,0.052558195634012296,0.0632280485709027,0.0136,0.0,0.0389,0.0632,35,0,0.0324,0.0,0.35156592487770283,0.5273471664290486,-0.17578124155134572,WELD_FOUND,0.6651,0.7145,False,False,False,False,False,vertical
3.467,0.0578931221024575,-0.03556617645630134,0.052558195634012296,0.0632280485709027,0.0045,0.0,0.0481,0.0632,35,0,0.0324,0.0,0.35156592487770283,0.5273471664290486,-0.17578124155134572,WELD_FOUND,0.6651,0.7145,False,False,False,False,False,vertical
3.517,0.0,0.0,0.0,0.0,0.0045,0.0,-0.0045,0.0,50,0,0.0463,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.567,0.0,0.0,0.0,0.0,0.0045,0.0,-0.0045,0.0,50,0,0.0463,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.617,0.0,0.0,0.0,0.0,0.067,0.0,-0.067,0.0,61,0,0.0565,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.667,0.0,0.0,0.0,0.0,0.067,0.0,-0.067,0.0,61,0,0.0565,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.717,0.0,0.0,0.0,0.0,0.0476,0.0,-0.0476,0.0,63,0,0.0584,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.767,0.0,0.0,0.0,0.0,0.0476,0.0,-0.0476,0.0,63,0,0.0584,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.817,0.0,0.0,0.0,0.0,0.0476,0.0,-0.0476,0.0,63,0,0.0584,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.867,0.0,0.0,0.0,0.0,0.0381,0.0,-0.0381,0.0,63,0,0.0584,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.917,0.0,0.0,0.0,0.0,0.0381,0.0,-0.0381,0.0,63,0,0.0584,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.967,0.0,0.0,0.0,0.0,0.0305,0.0,-0.0305,0.0,63,0,0.0584,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
4.017,0.0,0.0,0.0,0.0,0.0305,0.0,-0.0305,0.0,63,0,0.0584,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
4.067,0.0,0.0,0.0,0.0,0.0305,0.0,-0.0305,0.0,63,0,0.0584,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
4.117,0.0,0.0,0.0,0.0,0.0244,0.0,-0.0244,0.0,63,0,0.0584,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
4.167,0.0,0.0,0.0,0.0,0.0244,0.0,-0.0244,0.0,63,0,0.0584,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
4.217,0.0,0.0,0.0,0.0,0.0244,0.0,-0.0244,0.0,63,0,0.0584,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
4.269,0.0,0.0,0.0,0.0,0.0195,0.0,-0.0195,0.0,63,0,0.0584,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
4.317,0.0,0.0,0.0,0.0,0.0195,0.0,-0.0195,0.0,63,0,0.0584,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
4.367,0.0,0.0,0.0,0.0,0.0156,0.0,-0.0156,0.0,63,0,0.0584,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
4.417,0.0,0.0,0.0,0.0,0.0156,0.0,-0.0156,0.0,63,0,0.0584,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
4.467,0.0,0.0,0.0,0.0,0.0156,0.0,-0.0156,0.0,63,0,0.0584,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
4.517,0.0,0.0,0.0,0.0,0.0125,0.0,-0.0125,0.0,63,0,0.0584,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
4.567,0.0,0.0,0.0,0.0,0.0125,0.0,-0.0125,0.0,63,0,0.0584,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
4.617,0.0,0.0,0.0,0.0,0.01,0.0,-0.01,0.0,63,0,0.0584,0.0,-2.8124966631703576,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
4.667,0.0,0.0,0.0,0.0,0.01,0.0,-0.01,0.0,63,0,0.0584,0.0,-2.8124966631703576,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
4.717,0.0,0.0,0.0,0.0,0.008,0.0,-0.008,0.0,63,0,0.0584,0.0,-2.8124966631703576,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
4.767,0.0,0.0,0.0,0.0,0.008,0.0,-0.008,0.0,63,0,0.0584,0.0,-2.8124966631703576,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
4.817,0.0,0.0,0.0,0.0,0.0064,0.0,-0.0064,0.0,63,0,0.0584,0.0,-2.8124966631703576,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
4.867,0.0,0.0,0.0,0.0,0.0064,0.0,-0.0064,0.0,63,0,0.0584,0.0,-2.8124966631703576,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
4.917,0.0,0.0,0.0,0.0,0.0064,0.0,-0.0064,0.0,63,0,0.0584,0.0,-3.164059092912196,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
4.967,0.0,0.0,0.0,0.0,0.0051,0.0,-0.0051,0.0,63,0,0.0584,0.0,-3.164059092912196,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
5.017,0.0,0.0,0.0,0.0,0.0051,0.0,-0.0051,0.0,63,0,0.0584,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
5.067,0.0,0.0,0.0,0.0,0.0051,0.0,-0.0051,0.0,63,0,0.0584,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
5.117,0.0,0.0,0.0,0.0,0.0041,0.0,-0.0041,0.0,63,0,0.0584,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
5.167,0.0,0.0,0.0,0.0,0.0041,0.0,-0.0041,0.0,63,0,0.0584,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
5.217,0.03037455725537767,0.05,0.03787455725537767,0.02287455725537767,0.0041,0.0,0.0338,0.0229,63,0,0.0584,0.0,-3.164059092912196,-3.164059092912196,0.0,WELD_FOUND,0.5903,0.3565,False,False,False,False,False,vertical
5.269,0.03037455725537767,0.05,0.03787455725537767,0.02287455725537767,0.0033,0.0,0.0346,0.0229,63,0,0.0584,0.0,-3.164059092912196,-3.164059092912196,0.0,WELD_FOUND,0.5903,0.3565,False,False,False,False,False,vertical
5.318,0.032925363645114274,0.1,0.04792536364511427,0.017925363645114274,0.0033,0.0,0.0447,0.0179,65,0,0.0602,0.0,-2.460934233428519,-2.8124966631703576,0.3515624297418385,WELD_FOUND,0.6436,0.2794,False,False,False,False,False,vertical
5.367,0.032925363645114274,0.1,0.04792536364511427,0.017925363645114274,0.0033,0.0,0.0447,0.0179,65,0,0.0602,0.0,-2.460934233428519,-2.8124966631703576,0.3515624297418385,WELD_FOUND,0.6436,0.2794,False,False,False,False,False,vertical
5.417,0.0,0.0,0.0,0.0,0.0143,0.0,-0.0143,0.0,68,0,0.063,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
5.467,0.0,0.0,0.0,0.0,0.0143,0.0,-0.0143,0.0,68,0,0.063,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
5.517,0.0,0.0,0.0,0.0,0.0123,0.0,-0.0123,0.0,69,0,0.0639,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
5.567,0.0,0.0,0.0,0.0,0.0123,0.0,-0.0123,0.0,69,0,0.0639,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
5.617,0.0,0.0,0.0,0.0,0.0123,0.0,-0.0123,0.0,69,0,0.0639,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
5.667,0.0,0.0,0.0,0.0,0.0098,0.0,-0.0098,0.0,69,0,0.0639,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
5.718,0.0,0.0,0.0,0.0,0.0098,0.0,-0.0098,0.0,69,0,0.0639,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
5.767,0.0,0.0,0.0,0.0,0.0079,0.0,-0.0079,0.0,69,0,0.0639,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
5.817,0.0,0.0,0.0,0.0,0.0079,0.0,-0.0079,0.0,69,0,0.0639,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
5.867,0.0,0.0,0.0,0.0,0.0063,0.0,-0.0063,0.0,69,0,0.0639,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
5.917,0.0,0.0,0.0,0.0,0.0063,0.0,-0.0063,0.0,69,0,0.0639,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
5.967,0.0,0.0,0.0,0.0,0.0063,0.0,-0.0063,0.0,69,0,0.0639,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
6.017,0.0,0.0,0.0,0.0,0.005,0.0,-0.005,0.0,69,0,0.0639,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
6.067,0.0,0.0,0.0,0.0,0.005,0.0,-0.005,0.0,69,0,0.0639,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
6.117,0.0,0.0,0.0,0.0,0.004,0.0,-0.004,0.0,69,0,0.0639,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
6.167,0.0,0.0,0.0,0.0,0.004,0.0,-0.004,0.0,69,0,0.0639,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
6.217,0.0,0.0,0.0,0.0,0.004,0.0,-0.004,0.0,69,0,0.0639,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
6.268,0.0,0.0,0.0,0.0,0.0032,0.0,-0.0032,0.0,69,0,0.0639,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
6.317,0.0,0.0,0.0,0.0,0.0032,0.0,-0.0032,0.0,69,0,0.0639,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
6.367,0.0,0.0,0.0,0.0,0.0026,0.0,-0.0026,0.0,69,0,0.0639,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
6.417,0.0,0.0,0.0,0.0,0.0026,0.0,-0.0026,0.0,69,0,0.0639,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
6.467,0.0,0.0,0.0,0.0,0.0021,0.0,-0.0021,0.0,69,0,0.0639,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
6.517,0.0,0.0,0.0,0.0,0.0021,0.0,-0.0021,0.0,69,0,0.0639,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
6.567,0.0,0.0,0.0,0.0,0.0021,0.0,-0.0021,0.0,69,0,0.0639,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
6.617,0.0,0.0,0.0,0.0,0.0017,0.0,-0.0017,0.0,69,0,0.0639,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
6.667,0.0,0.0,0.0,0.0,0.0017,0.0,-0.0017,0.0,69,0,0.0639,0.0,-2.460934233428519,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
6.717,0.0,0.0,0.0,0.0,0.0017,0.0,-0.0017,0.0,69,0,0.0639,0.0,1.054690917763512,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
6.767,0.0,0.0,0.0,0.0,0.0013,0.0,-0.0013,0.0,69,0,0.0639,0.0,1.054690917763512,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
6.817,0.0,0.0,0.0,0.0,0.0013,0.0,-0.0013,0.0,69,0,0.0639,0.0,1.054690917763512,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
6.867,0.0,0.0,0.0,0.0,0.0013,0.0,-0.0013,0.0,69,0,0.0639,0.0,1.054690917763512,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
6.917,0.0,0.0,0.0,0.0,0.0011,0.0,-0.0011,0.0,69,0,0.0639,0.0,-3.8671843792826963,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
6.967,0.0,0.0,0.0,0.0,0.0011,0.0,-0.0011,0.0,69,0,0.0639,0.0,-3.8671843792826963,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
7.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0.0639,0.0,-3.8671843792826963,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
7.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0.0639,0.0,-3.8671843792826963,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
7.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0.0639,0.0,-3.8671843792826963,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
7.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0.0639,0.0,-3.8671843792826963,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
7.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0.0639,0.0,3.4150945850063755e-06,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
7.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0.0639,0.0,3.4150945850063755e-06,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
7.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0.0639,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
7.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0.0639,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
7.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0.0639,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
7.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0.0639,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
7.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0.0639,0.0,3.4150945850063755e-06,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
7.567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0.0639,0.0,3.4150945850063755e-06,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
7.617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0.0639,0.0,0.7031284346608206,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
7.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0.0639,0.0,0.7031284346608206,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
7.717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0.0639,0.0,0.7031284346608206,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
7.767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0.0639,0.0,0.7031284346608206,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
7.817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0.0639,0.0,-4.218746595581123,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
7.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0.0639,0.0,-4.218746595581123,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
7.917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0.0639,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
7.967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0.0639,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
8.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0.0639,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
8.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0.0639,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
8.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0.0639,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
8.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0.0639,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
8.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0.0639,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
8.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0.0639,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
8.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0.0639,0.0,0.35156592487770283,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
