t,vx,wz,tgt_r,tgt_l,spd_r,spd_l,err_r,err_l,ticks_r,ticks_l,dist_r,dist_l,raw_angle,filtered_angle,error,weld
2.138,0.023695749571981117,0.07585436975376764,0.03507390503504626,0.012317594108915973,0.0,0.0,0.0351,0.0123,0,0,0.0,0.0,-2.1093715902432693,-1.7578091605014305,-0.3515624297418387,WELD_FOUND
2.187,0.023695749571981117,0.07585436975376764,0.03507390503504626,0.012317594108915973,0.0,0.0,0.0351,0.0123,0,0,0.0,0.0,-2.1093715902432693,-1.7578091605014305,-0.3515624297418387,WELD_FOUND
2.237,0.023760577598267326,0.0765161678073342,0.035238002769367456,0.012283152427167198,0.0,0.0,0.0352,0.0123,0,0,0.0,0.0,-1.7578091605014305,-1.7578091605014305,0.0,WELD_FOUND
2.288,0.023760577598267326,0.0765161678073342,0.035238002769367456,0.012283152427167198,0.0074,0.005,0.0278,0.0073,3,2,0.0028,0.0019,-1.7578091605014305,-1.7578091605014305,0.0,WELD_FOUND
2.337,0.02377355383057947,0.07666439684444905,0.03527321335724683,0.012273894303912113,0.0074,0.005,0.0278,0.0073,3,2,0.0028,0.0019,-2.1093715902432693,-1.7578091605014305,-0.3515624297418387,WELD_FOUND
2.387,0.02377355383057947,0.07666439684444905,0.03527321335724683,0.012273894303912113,0.0193,0.005,0.016,0.0073,7,5,0.0065,0.0046,-2.1093715902432693,-1.7578091605014305,-0.3515624297418387,WELD_FOUND
2.437,0.023776149502124092,0.07669230313744237,0.035279994972740446,0.012272304031507737,0.0193,0.0104,0.016,0.0019,7,5,0.0065,0.0046,-1.0546840875743422,-1.7578091605014305,0.7031250729270884,WELD_FOUND
2.487,0.023776149502124092,0.07669230313744237,0.035279994972740446,0.012272304031507737,0.0227,0.0104,0.0126,0.0019,10,8,0.0093,0.0074,-1.0546840875743422,-1.7578091605014305,0.7031250729270884,WELD_FOUND
2.537,0.023776668653436306,0.07669749391937399,0.0352812927413424,0.012272044565530209,0.0227,0.0104,0.0126,0.0019,10,8,0.0093,0.0074,-1.7578091605014305,-1.7578091605014305,0.0,WELD_FOUND
2.588,0.023776668653436306,0.07669749391937399,0.0352812927413424,0.012272044565530209,0.0284,0.0235,0.0068,-0.0113,14,12,0.013,0.0111,-1.7578091605014305,-1.7578091605014305,0.0,WELD_FOUND
2.637,0.02377677248437888,0.07669861917681894,0.03528156536090172,0.012271979607856037,0.0284,0.0235,0.0068,-0.0113,14,12,0.013,0.0111,-0.7031216044716506,-1.7578091605014305,1.05468755602978,WELD_FOUND
2.687,0.02377677248437888,0.07669861917681894,0.03528156536090172,0.012271979607856037,0.0284,0.0235,0.0068,-0.0113,17,15,0.0158,0.0139,-0.7031216044716506,-1.7578091605014305,1.05468755602978,WELD_FOUND
2.737,0.0,0.0,0.0,0.0,0.0245,0.0215,-0.0245,-0.0215,17,15,0.0158,0.0139,-0.7031216044716506,nan,nan,NO_WELD
2.787,0.0,0.0,0.0,0.0,0.0245,0.0215,-0.0245,-0.0215,20,18,0.0185,0.0167,-0.7031216044716506,nan,nan,NO_WELD
2.837,0.027132898086418313,0.04474825050639564,0.03384513566237766,0.020420660510458967,0.0245,0.0215,0.0094,-0.0011,20,18,0.0185,0.0167,-1.0546840875743422,-1.0546840875743422,0.0,WELD_FOUND
2.888,0.027132898086418313,0.04474825050639564,0.03384513566237766,0.020420660510458967,0.0221,0.0203,0.0117,0.0001,20,18,0.0185,0.0167,-1.0546840875743422,-1.0546840875743422,0.0,WELD_FOUND
2.937,0.026959836749883802,0.054116809276137136,0.035077358141304374,0.01884231535846323,0.0221,0.0203,0.013,-0.0015,20,18,0.0185,0.0167,-1.4062466240378864,-1.2304654091669671,-0.17578121487091924,WELD_FOUND
2.988,0.026959836749883802,0.054116809276137136,0.035077358141304374,0.01884231535846323,0.0244,0.0233,0.0107,-0.0044,23,21,0.0213,0.0195,-1.4062466240378864,-1.2304654091669671,-0.17578121487091924,WELD_FOUND
3.037,0.026068822995499473,0.0635003589908157,0.035593876844121825,0.016543769146877118,0.0244,0.0233,0.0112,-0.0067,23,21,0.0213,0.0195,-2.1093715902432693,-1.4062466240378864,-0.7031249662053829,WELD_FOUND
3.09,0.026068822995499473,0.0635003589908157,0.035593876844121825,0.016543769146877118,0.0294,0.0251,0.0062,-0.0085,27,24,0.025,0.0222,-2.1093715902432693,-1.4062466240378864,-0.7031249662053829,WELD_FOUND
3.138,0.02589241692186883,0.061804215398758265,0.03516304923168257,0.016621784612055088,0.0294,0.0251,0.0057,-0.0085,27,24,0.025,0.0222,-1.4062466240378864,-1.4062466240378864,0.0,WELD_FOUND
3.188,0.02589241692186883,0.061804215398758265,0.03516304923168257,0.016621784612055088,0.0294,0.0251,0.0057,-0.0085,30,27,0.0278,0.025,-1.4062466240378864,-1.4062466240378864,0.0,WELD_FOUND
3.237,0.0,0.0,0.0,0.0,0.0251,0.0225,-0.0251,-0.0225,30,27,0.0278,0.025,-1.4062466240378864,nan,nan,NO_WELD
3.288,0.0,0.0,0.0,0.0,0.0251,0.0225,-0.0251,-0.0225,32,29,0.0297,0.0269,-1.4062466240378864,nan,nan,NO_WELD
3.337,0.0,0.0,0.0,0.0,0.0225,0.0209,-0.0225,-0.0209,32,29,0.0297,0.0269,-1.4062466240378864,nan,nan,NO_WELD
3.388,0.0,0.0,0.0,0.0,0.0225,0.0209,-0.0225,-0.0209,32,29,0.0297,0.0269,-1.4062466240378864,nan,nan,NO_WELD
3.437,0.035,0.0,0.035,0.035,0.0225,0.0209,0.0125,0.0141,32,29,0.0297,0.0269,3.4150945850063755e-06,3.4150945850063755e-06,0.0,WELD_FOUND
3.488,0.035,0.0,0.035,0.035,0.018,0.0167,0.017,0.0183,32,29,0.0297,0.0269,3.4150945850063755e-06,3.4150945850063755e-06,0.0,WELD_FOUND
3.537,0.032485417940528664,-0.025545685769554738,0.028653565075095453,0.03631727080596187,0.018,0.0167,0.0107,0.0196,32,29,0.0297,0.0269,1.054690917763512,0.5273471664290486,0.5273437513344634,WELD_FOUND
3.588,0.032485417940528664,-0.025545685769554738,0.028653565075095453,0.03631727080596187,0.0256,0.0249,0.003,0.0115,36,33,0.0334,0.0306,1.054690917763512,0.5273471664290486,0.5273437513344634,WELD_FOUND
3.637,0.030691625741719925,-0.03469687471595807,0.025487094534326214,0.03589615694911363,0.0256,0.0249,-0.0001,0.011,36,33,0.0334,0.0306,0.7031284346608206,0.7031284346608206,0.0,WELD_FOUND
3.688,0.030691625741719925,-0.03469687471595807,0.025487094534326214,0.03589615694911363,0.0256,0.0249,-0.0001,0.011,39,36,0.0361,0.0334,0.7031284346608206,0.7031284346608206,0.0,WELD_FOUND
3.737,0.03219964299112924,-0.011846300661708616,0.03042269789187295,0.033976588090385534,0.0228,0.0223,0.0076,0.0116,39,36,0.0361,0.0334,-0.35155909468853286,0.35156592487770283,-0.7031250195662357,WELD_FOUND
3.788,0.03219964299112924,-0.011846300661708616,0.03042269789187295,0.033976588090385534,0.0228,0.0223,0.0076,0.0116,43,40,0.0399,0.0371,-0.35155909468853286,0.35156592487770283,-0.7031250195662357,WELD_FOUND
3.837,0.035,0.0,0.035,0.035,0.0285,0.0282,0.0065,0.0068,43,40,0.0399,0.0371,-1.0546840875743422,3.4150945850063755e-06,-1.054687502668927,WELD_FOUND
3.888,0.035,0.0,0.035,0.035,0.0285,0.0282,0.0065,0.0068,47,44,0.0436,0.0408,-1.0546840875743422,3.4150945850063755e-06,-1.054687502668927,WELD_FOUND
3.937,0.03317018439625673,0.018408129278081626,0.03593140378796897,0.030408965004544482,0.0285,0.0282,0.0074,0.0022,47,44,0.0436,0.0408,-2.1093715902432693,-0.35155909468853286,-1.7578124955547363,WELD_FOUND
3.988,0.03317018439625673,0.018408129278081626,0.03593140378796897,0.030408965004544482,0.0368,0.0367,-0.0009,-0.0063,51,48,0.0473,0.0445,-2.1093715902432693,-0.35155909468853286,-1.7578124955547363,WELD_FOUND
4.037,0.02900433686104062,0.05563174999440092,0.037349099360200755,0.020659574361880484,0.0368,0.0367,0.0005,-0.016,51,48,0.0473,0.0445,-2.1093715902432693,-1.0546840875743422,-1.054687502668927,WELD_FOUND
4.09,0.02900433686104062,0.05563174999440092,0.037349099360200755,0.020659574361880484,0.0332,0.0331,0.0041,-0.0125,54,51,0.05,0.0473,-2.1093715902432693,-1.0546840875743422,-1.054687502668927,WELD_FOUND
4.137,0.0,0.0,0.0,0.0,0.0332,0.0331,-0.0332,-0.0331,54,51,0.05,0.0473,-2.1093715902432693,nan,nan,NO_WELD
4.187,0.0,0.0,0.0,0.0,0.0332,0.0331,-0.0332,-0.0331,56,53,0.0519,0.0491,-2.1093715902432693,nan,nan,NO_WELD
4.237,0.0,0.0,0.0,0.0,0.0249,0.0248,-0.0249,-0.0248,56,53,0.0519,0.0491,-2.1093715902432693,nan,nan,NO_WELD
4.288,0.0,0.0,0.0,0.0,0.0249,0.0248,-0.0249,-0.0248,57,53,0.0528,0.0491,-2.1093715902432693,nan,nan,NO_WELD
4.337,0.0,0.0,0.0,0.0,0.0186,0.0199,-0.0186,-0.0199,57,53,0.0528,0.0491,-2.1093715902432693,nan,nan,NO_WELD
4.388,0.0,0.0,0.0,0.0,0.0186,0.0199,-0.0186,-0.0199,57,53,0.0528,0.0491,-2.1093715902432693,nan,nan,NO_WELD
4.437,0.0,0.0,0.0,0.0,0.0186,0.0199,-0.0186,-0.0199,57,53,0.0528,0.0491,-2.1093715902432693,nan,nan,NO_WELD
4.487,0.0,0.0,0.0,0.0,0.0149,0.0159,-0.0149,-0.0159,57,53,0.0528,0.0491,-2.1093715902432693,nan,nan,NO_WELD
4.537,0.0,0.0,0.0,0.0,0.0149,0.0159,-0.0149,-0.0159,57,53,0.0528,0.0491,-2.1093715902432693,nan,nan,NO_WELD
4.587,0.0,0.0,0.0,0.0,0.0149,0.0159,-0.0149,-0.0159,57,53,0.0528,0.0491,-2.1093715902432693,nan,nan,NO_WELD
4.637,0.0,0.0,0.0,0.0,0.0119,0.0127,-0.0119,-0.0127,57,53,0.0528,0.0491,-2.1093715902432693,nan,nan,NO_WELD
4.687,0.0,0.0,0.0,0.0,0.0119,0.0127,-0.0119,-0.0127,57,53,0.0528,0.0491,-2.1093715902432693,nan,nan,NO_WELD
4.737,0.0,0.0,0.0,0.0,0.0095,0.0102,-0.0095,-0.0102,57,53,0.0528,0.0491,-2.1093715902432693,nan,nan,NO_WELD
4.787,0.0,0.0,0.0,0.0,0.0095,0.0102,-0.0095,-0.0102,57,53,0.0528,0.0491,-2.1093715902432693,nan,nan,NO_WELD
4.837,0.0,0.0,0.0,0.0,0.0095,0.0102,-0.0095,-0.0102,57,53,0.0528,0.0491,-2.1093715902432693,nan,nan,NO_WELD
4.887,0.0,0.0,0.0,0.0,0.0076,0.0081,-0.0076,-0.0081,57,53,0.0528,0.0491,-2.1093715902432693,nan,nan,NO_WELD
4.937,0.0,0.0,0.0,0.0,0.0076,0.0081,-0.0076,-0.0081,57,53,0.0528,0.0491,-2.1093715902432693,nan,nan,NO_WELD
4.987,0.0,0.0,0.0,0.0,0.0076,0.0081,-0.0076,-0.0081,57,53,0.0528,0.0491,-2.1093715902432693,nan,nan,NO_WELD
5.037,0.0,0.0,0.0,0.0,0.0061,0.0065,-0.0061,-0.0065,57,53,0.0528,0.0491,-2.1093715902432693,nan,nan,NO_WELD
5.088,0.0,0.0,0.0,0.0,0.0061,0.0065,-0.0061,-0.0065,57,53,0.0528,0.0491,-2.1093715902432693,nan,nan,NO_WELD
5.137,0.0,0.0,0.0,0.0,0.0049,0.0052,-0.0049,-0.0052,57,53,0.0528,0.0491,-8.085933963071582,nan,nan,NO_WELD
5.187,0.0,0.0,0.0,0.0,0.0049,0.0052,-0.0049,-0.0052,57,53,0.0528,0.0491,-8.085933963071582,nan,nan,NO_WELD
5.237,0.0,0.0,0.0,0.0,0.0049,0.0052,-0.0049,-0.0052,57,53,0.0528,0.0491,-9.140621892627331,nan,nan,NO_WELD
5.287,0.0,0.0,0.0,0.0,0.0039,0.0042,-0.0039,-0.0042,57,53,0.0528,0.0491,-9.140621892627331,nan,nan,NO_WELD
5.337,0.0,0.0,0.0,0.0,0.0039,0.0042,-0.0039,-0.0042,57,53,0.0528,0.0491,-8.43749660625683,nan,nan,NO_WELD
5.387,0.0,0.0,0.0,0.0,0.0031,0.0033,-0.0031,-0.0033,57,53,0.0528,0.0491,-8.43749660625683,nan,nan,NO_WELD
5.437,0.0,0.0,0.0,0.0,0.0031,0.0033,-0.0031,-0.0033,57,53,0.0528,0.0491,-8.43749660625683,-8.43749660625683,0.0,WELD_FOUND
5.487,0.0,0.0,0.0,0.0,0.0031,0.0033,-0.0031,-0.0033,57,53,0.0528,0.0491,-8.43749660625683,-8.43749660625683,0.0,WELD_FOUND
5.537,0.005,0.05,0.0125,-0.0024999999999999996,0.0025,0.0027,0.01,-0.0052,57,53,0.0528,0.0491,-8.43749660625683,-8.43749660625683,0.0,WELD_FOUND
5.587,0.005,0.05,0.0125,-0.0024999999999999996,0.0025,0.0027,0.01,-0.0052,57,53,0.0528,0.0491,-8.43749660625683,-8.43749660625683,0.0,WELD_FOUND
5.637,0.005,0.1,0.02,-0.009999999999999998,0.0025,0.0027,0.0175,-0.0127,57,53,0.0528,0.0491,-8.43749660625683,-8.43749660625683,0.0,WELD_FOUND
5.687,0.005,0.1,0.02,-0.009999999999999998,0.002,0.0021,0.018,-0.0121,57,53,0.0528,0.0491,-8.43749660625683,-8.43749660625683,0.0,WELD_FOUND
5.737,0.005,0.15000000000000002,0.027500000000000004,-0.0175,0.002,0.0021,0.0255,-0.0196,57,54,0.0528,0.05,-8.43749660625683,-8.43749660625683,0.0,WELD_FOUND
5.787,0.005,0.15000000000000002,0.027500000000000004,-0.0175,0.0016,0.005,0.0259,-0.0225,57,54,0.0528,0.05,-8.43749660625683,-8.43749660625683,0.0,WELD_FOUND
5.837,0.005,0.2,0.034999999999999996,-0.024999999999999998,0.0016,0.005,0.0334,-0.03,60,56,0.0556,0.0519,-8.789059249442081,-8.43749660625683,-0.3515626431852503,WELD_FOUND
5.887,0.005,0.2,0.034999999999999996,-0.024999999999999998,0.0016,0.005,0.0334,-0.03,60,56,0.0556,0.0519,-8.789059249442081,-8.43749660625683,-0.3515626431852503,WELD_FOUND
5.937,0.005,0.25,0.042499999999999996,-0.0325,0.0133,0.0079,0.0292,-0.0404,62,56,0.0575,0.0519,-9.140621892627331,-8.43749660625683,-0.7031252863705006,WELD_FOUND
5.987,0.005,0.25,0.042499999999999996,-0.0325,0.0133,0.0079,0.0292,-0.0404,62,56,0.0575,0.0519,-9.140621892627331,-8.43749660625683,-0.7031252863705006,WELD_FOUND
6.037,0.005,0.3,0.049999999999999996,-0.04,0.0117,0.0085,0.0383,-0.0485,63,57,0.0584,0.0528,-9.843747178997832,-8.789059249442081,-1.054687929555751,WELD_FOUND
6.089,0.005,0.3,0.049999999999999996,-0.04,0.0117,0.0085,0.0383,-0.0485,63,57,0.0584,0.0528,-9.843747178997832,-8.789059249442081,-1.054687929555751,WELD_FOUND
6.137,0.0,0.0,0.0,0.0,0.0107,0.0068,-0.0107,-0.0068,64,57,0.0593,0.0528,-9.843747178997832,nan,nan,NO_WELD
6.187,0.0,0.0,0.0,0.0,0.0107,0.0068,-0.0107,-0.0068,64,57,0.0593,0.0528,-9.843747178997832,nan,nan,NO_WELD
6.237,0.0,0.0,0.0,0.0,0.0107,0.0068,-0.0107,-0.0068,65,56,0.0602,0.0519,-9.843747178997832,nan,nan,NO_WELD
