t,vx,wz,tgt_r,tgt_l,spd_r,spd_l,err_r,err_l,ticks_r,ticks_l,dist_r,dist_l,raw_angle,filtered_angle,error,weld,ff_r,ff_l,kickstart_r,kickstart_l
2.118,0.03306852631724001,0.019450821791150995,0.03598614958591266,0.030150903048567365,0.0,0.0,0.036,0.0302,0,0,0.0,0.0,-0.7031216044716506,-0.35155909468853286,-0.35156250978311776,WELD_FOUND,0.0,0.0,True,True
2.168,0.03306852631724001,0.019450821791150995,0.03598614958591266,0.030150903048567365,0.0,0.0,0.036,0.0302,0,0,0.0,0.0,-0.7031216044716506,-0.35155909468853286,-0.35156250978311776,WELD_FOUND,0.0,0.0,True,True
2.218,0.0326792925559228,0.01623328306908796,0.035114285016285995,0.030244300095559607,0.0074,0.0037,0.0277,0.0265,2,1,0.0019,0.0009,-0.35155909468853286,-0.35155909468853286,0.0,WELD_FOUND,0.2048,0.1779,False,False
2.268,0.0326792925559228,0.01623328306908796,0.035114285016285995,0.030244300095559607,0.0074,0.0037,0.0277,0.0265,2,1,0.0019,0.0009,-0.35155909468853286,-0.35155909468853286,0.0,WELD_FOUND,0.2048,0.1779,False,False
2.318,0.035,0.0,0.035,0.035,0.0074,0.0037,0.0276,0.0313,5,2,0.0046,0.0019,0.35156592487770283,-0.17577783979697392,0.5273437646746768,WELD_FOUND,0.2043,0.2043,False,False
2.368,0.035,0.0,0.035,0.035,0.0119,0.0047,0.0231,0.0303,5,2,0.0046,0.0019,0.35156592487770283,-0.17577783979697392,0.5273437646746768,WELD_FOUND,0.2043,0.2043,False,False
2.418,0.035,0.0,0.035,0.035,0.0119,0.0047,0.0231,0.0303,6,2,0.0056,0.0019,3.4150945850063755e-06,3.4150945850063755e-06,0.0,WELD_FOUND,0.2043,0.2043,False,False
2.468,0.035,0.0,0.035,0.035,0.0119,0.0047,0.0231,0.0303,6,2,0.0056,0.0019,3.4150945850063755e-06,3.4150945850063755e-06,0.0,WELD_FOUND,0.2043,0.2043,False,False
2.518,0.0,0.0,0.0,0.0,0.0121,0.0038,-0.0121,-0.0038,7,2,0.0065,0.0019,3.4150945850063755e-06,nan,nan,NO_WELD,0.0,0.0,False,False
2.568,0.0,0.0,0.0,0.0,0.0121,0.0038,-0.0121,-0.0038,7,2,0.0065,0.0019,3.4150945850063755e-06,nan,nan,NO_WELD,0.0,0.0,False,False
