t,vx,wz,tgt_r,tgt_l,spd_r,spd_l,err_r,err_l,ticks_r,ticks_l,dist_r,dist_l,raw_angle,filtered_angle,error,weld
2.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,NO_WELD
2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,NO_WELD
2.219,0.023326636480674578,-0.05,0.015826636480674578,0.030826636480674578,0.0,0.0,0.0158,0.0308,0,0,0.0,0.0,1.7578159906906006,1.7578159906906006,0.0,WELD_FOUND
2.269,0.023326636480674578,-0.05,0.015826636480674578,0.030826636480674578,0.0,0.0,0.0158,0.0308,0,0,0.0,0.0,1.7578159906906006,1.7578159906906006,0.0,WELD_FOUND
2.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,1.7578159906906006,nan,nan,NO_WELD
2.369,0.0,0.0,0.0,0.0,0.0037,0.0037,-0.0037,-0.0037,1,1,0.0009,0.0009,1.7578159906906006,nan,nan,NO_WELD
2.753,0.020557945537296403,-0.05,0.013057945537296403,0.028057945537296403,0.0037,0.0037,0.0094,0.0244,6,6,0.0056,0.0056,2.4609410636176894,2.4609410636176894,0.0,WELD_FOUND
2.769,0.023000692530895712,-0.05,0.015500692530895713,0.030500692530895712,0.0157,0.0157,-0.0002,0.0148,15,15,0.0139,0.0139,1.7578159906906006,1.7578159906906006,0.0,WELD_FOUND
2.819,0.02362051563001806,-0.07224090244374815,0.012784380263455838,0.03445665099658028,0.0157,0.0157,-0.0029,0.0188,17,18,0.0158,0.0167,1.7578159906906006,1.7578159906906006,0.0,WELD_FOUND
2.87,0.02362051563001806,-0.07224090244374815,0.012784380263455838,0.03445665099658028,0.0159,0.0191,-0.0031,0.0153,17,18,0.0158,0.0167,1.7578159906906006,1.7578159906906006,0.0,WELD_FOUND
2.919,0.023745469149960393,-0.07636152500192016,0.01229124039967237,0.03519969790024842,0.0159,0.0191,-0.0036,0.0161,19,20,0.0176,0.0185,1.4062534542270564,1.7578159906906006,-0.3515625364635442,WELD_FOUND
2.969,0.023745469149960393,-0.07636152500192016,0.01229124039967237,0.03519969790024842,0.0159,0.0191,-0.0036,0.0161,19,20,0.0176,0.0185,1.4062534542270564,1.7578159906906006,-0.3515625364635442,WELD_FOUND
3.019,0.02458865431475975,-0.06681414374059161,0.01456653275367101,0.034610775875848494,0.0194,0.0238,-0.0049,0.0108,21,23,0.0195,0.0213,0.7031284346608206,1.5820346690979756,-0.878906234437155,WELD_FOUND
