t,vx,wz,tgt_r,tgt_l,spd_r,spd_l,err_r,err_l,ticks_r,ticks_l,dist_r,dist_l,angle,weld
2.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
2.156,-0.4,0.0,-0.4,-0.4,0.0,0.0,-0.4,-0.4,0,0,0.0,0.0,nan,UNKNOWN
2.206,-0.4,0.0,-0.4,-0.4,0.0,0.0,-0.4,-0.4,0,0,0.0,0.0,nan,UNKNOWN
2.256,-0.4,0.0,-0.4,-0.4,0.0,0.0,-0.4,-0.4,0,0,0.0,0.0,nan,UNKNOWN
2.306,-0.4,0.0,-0.4,-0.4,-0.0028,-0.0019,-0.3972,-0.3981,-3,-2,0.0028,0.0019,nan,UNKNOWN
2.356,-0.4,0.0,-0.4,-0.4,-0.0028,-0.0019,-0.3972,-0.3981,-3,-2,0.0028,0.0019,nan,UNKNOWN
2.406,-0.4,0.0,-0.4,-0.4,-0.0028,-0.0019,-0.3972,-0.3981,-12,-10,0.0111,0.0093,nan,UNKNOWN
2.456,-0.4,0.0,-0.4,-0.4,-0.0028,-0.0019,-0.3972,-0.3981,-12,-10,0.0111,0.0093,nan,UNKNOWN
2.506,-0.4,0.0,-0.4,-0.4,-0.0028,-0.0019,-0.3972,-0.3981,-21,-19,0.0195,0.0176,nan,UNKNOWN
2.556,-0.4,0.0,-0.4,-0.4,-0.0156,-0.0141,-0.3844,-0.3859,-21,-19,0.0195,0.0176,nan,UNKNOWN
2.606,-0.4,0.0,-0.4,-0.4,-0.0156,-0.0141,-0.3844,-0.3859,-29,-28,0.0269,0.0259,nan,UNKNOWN
2.656,-0.4,0.0,-0.4,-0.4,-0.0156,-0.0141,-0.3844,-0.3859,-29,-28,0.0269,0.0259,nan,UNKNOWN
2.706,-0.4,0.0,-0.4,-0.4,-0.0156,-0.0141,-0.3844,-0.3859,-39,-38,0.0361,0.0352,nan,UNKNOWN
2.756,-0.4,0.0,-0.4,-0.4,-0.0291,-0.0289,-0.3709,-0.3711,-39,-38,0.0361,0.0352,nan,UNKNOWN
2.806,-0.4,0.0,-0.4,-0.4,-0.0291,-0.0289,-0.3709,-0.3711,-48,-47,0.0445,0.0436,nan,UNKNOWN
2.856,-0.4,0.0,-0.4,-0.4,-0.0291,-0.0289,-0.3709,-0.3711,-48,-47,0.0445,0.0436,nan,UNKNOWN
