t,vx,wz,tgt_r,tgt_l,spd_r,spd_l,err_r,err_l,ticks_r,ticks_l,dist_r,dist_l,raw_angle,filtered_angle,error,weld
2.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN
2.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,NO_WELD
2.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,NO_WELD
2.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,NO_WELD
2.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,NO_WELD
2.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,NO_WELD
2.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,NO_WELD
2.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,NO_WELD
2.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,NO_WELD
2.559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,NO_WELD
2.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,NO_WELD
2.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2.812503493359528,nan,nan,NO_WELD
2.709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2.812503493359528,nan,nan,NO_WELD
2.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-4.218746595581123,nan,nan,NO_WELD
2.809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-4.218746595581123,nan,nan,NO_WELD
2.859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-2.8124966631703576,nan,nan,NO_WELD
2.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-2.8124966631703576,nan,nan,NO_WELD
2.959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-2.460934233428519,nan,nan,NO_WELD
3.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-2.460934233428519,nan,nan,NO_WELD
3.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-3.8671843792826963,nan,nan,NO_WELD
3.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-3.8671843792826963,nan,nan,NO_WELD
3.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-4.921871881951623,-4.921871881951623,0.0,WELD_FOUND
3.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-4.921871881951623,-4.921871881951623,0.0,WELD_FOUND
3.259,0.008411552904375128,0.05,0.015911552904375126,0.0009115529043751281,0.0,0.0,0.0159,0.0009,0,0,0.0,0.0,-5.273434098250051,-5.0976527766574256,-0.17578132159262516,WELD_FOUND
3.309,0.008411552904375128,0.05,0.015911552904375126,0.0009115529043751281,0.0037,0.0,0.0122,0.0009,1,0,0.0009,0.0,-5.273434098250051,-5.0976527766574256,-0.17578132159262516,WELD_FOUND
3.359,0.0,0.0,0.0,0.0,0.0037,0.0,-0.0037,0.0,1,0,0.0009,0.0,-5.273434098250051,nan,nan,NO_WELD
3.409,0.0,0.0,0.0,0.0,0.0037,0.0,-0.0037,0.0,2,0,0.0019,0.0,-5.273434098250051,nan,nan,NO_WELD
3.459,0.006171712706581624,0.05,0.013671712706581624,-0.0013282872934183756,0.0047,0.0,0.009,-0.0013,2,0,0.0019,0.0,-5.9765593846205505,-5.9765593846205505,0.0,WELD_FOUND
3.509,0.006171712706581624,0.05,0.013671712706581624,-0.0013282872934183756,0.0047,0.0,0.009,-0.0013,2,0,0.0019,0.0,-5.9765593846205505,-5.9765593846205505,0.0,WELD_FOUND
3.559,0.0,0.0,0.0,0.0,0.0038,0.0,-0.0038,0.0,2,0,0.0019,0.0,-5.9765593846205505,nan,nan,NO_WELD
3.609,0.0,0.0,0.0,0.0,0.0038,0.0,-0.0038,0.0,3,0,0.0028,0.0,-5.9765593846205505,nan,nan,NO_WELD
3.659,0.005765273021162944,0.05,0.013265273021162944,-0.0017347269788370555,0.006,0.0,0.0073,-0.0017,3,0,0.0028,0.0,-5.9765593846205505,-5.9765593846205505,0.0,WELD_FOUND
3.709,0.005765273021162944,0.05,0.013265273021162944,-0.0017347269788370555,0.006,0.0,0.0073,-0.0017,3,0,0.0028,0.0,-5.9765593846205505,-5.9765593846205505,0.0,WELD_FOUND
3.759,0.0,0.0,0.0,0.0,0.006,0.0,-0.006,0.0,3,0,0.0028,0.0,-5.9765593846205505,nan,nan,NO_WELD
3.809,0.0,0.0,0.0,0.0,0.0048,0.0,-0.0048,0.0,3,0,0.0028,0.0,-5.9765593846205505,nan,nan,NO_WELD
3.859,0.0,0.0,0.0,0.0,0.0048,0.0,-0.0048,0.0,3,0,0.0028,0.0,-5.9765593846205505,nan,nan,NO_WELD
3.909,0.0,0.0,0.0,0.0,0.0038,0.0,-0.0038,0.0,3,0,0.0028,0.0,-5.9765593846205505,nan,nan,NO_WELD
3.959,0.0,0.0,0.0,0.0,0.0038,0.0,-0.0038,0.0,3,0,0.0028,0.0,-5.9765593846205505,nan,nan,NO_WELD
4.009,0.0,0.0,0.0,0.0,0.0038,0.0,-0.0038,0.0,3,0,0.0028,0.0,-5.9765593846205505,nan,nan,NO_WELD
4.06,0.0,0.0,0.0,0.0,0.0031,0.0,-0.0031,0.0,3,0,0.0028,0.0,-5.9765593846205505,nan,nan,NO_WELD
4.109,0.0,0.0,0.0,0.0,0.0031,0.0,-0.0031,0.0,3,0,0.0028,0.0,-5.9765593846205505,nan,nan,NO_WELD
4.159,0.0,0.0,0.0,0.0,0.0024,0.0,-0.0024,0.0,3,0,0.0028,0.0,-5.9765593846205505,nan,nan,NO_WELD
4.209,0.0,0.0,0.0,0.0,0.0024,0.0,-0.0024,0.0,3,0,0.0028,0.0,-5.9765593846205505,nan,nan,NO_WELD
4.259,0.0,0.0,0.0,0.0,0.0024,0.0,-0.0024,0.0,3,0,0.0028,0.0,-5.9765593846205505,nan,nan,NO_WELD
4.309,0.0,0.0,0.0,0.0,0.002,0.0,-0.002,0.0,3,0,0.0028,0.0,-5.9765593846205505,nan,nan,NO_WELD
4.359,0.0,0.0,0.0,0.0,0.002,0.0,-0.002,0.0,3,0,0.0028,0.0,-5.9765593846205505,nan,nan,NO_WELD
4.409,0.0,0.0,0.0,0.0,0.0016,0.0,-0.0016,0.0,3,0,0.0028,0.0,-5.9765593846205505,nan,nan,NO_WELD
4.459,0.0,0.0,0.0,0.0,0.0016,0.0,-0.0016,0.0,3,0,0.0028,0.0,-5.9765593846205505,nan,nan,NO_WELD
4.509,0.0,0.0,0.0,0.0,0.0016,0.0,-0.0016,0.0,3,0,0.0028,0.0,-5.9765593846205505,nan,nan,NO_WELD
4.559,0.0,0.0,0.0,0.0,0.0012,0.0,-0.0012,0.0,3,0,0.0028,0.0,-5.9765593846205505,nan,nan,NO_WELD
4.609,0.0,0.0,0.0,0.0,0.0012,0.0,-0.0012,0.0,3,0,0.0028,0.0,-5.9765593846205505,nan,nan,NO_WELD
4.659,0.0,0.0,0.0,0.0,0.0012,0.0,-0.0012,0.0,3,0,0.0028,0.0,-5.9765593846205505,nan,nan,NO_WELD
4.709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0028,0.0,-5.9765593846205505,nan,nan,NO_WELD
4.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0028,0.0,-3.5156217360974464,nan,nan,NO_WELD
4.809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0028,0.0,-3.5156217360974464,nan,nan,NO_WELD
