t,vx,wz,tgt_r,tgt_l,spd_r,spd_l,err_r,err_l,ticks_r,ticks_l,dist_r,dist_l,raw_angle,filtered_angle,error,weld,ff_r,ff_l,kickstart_r,kickstart_l,holding_r,holding_l,manual_pwm_mode,surface_mode
2.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,False,False,False,vertical
2.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-2.1093715902432693,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
2.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-2.1093715902432693,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
2.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-2.1093715902432693,-2.1093715902432693,0.0,WELD_FOUND,0.0,0.0,False,False,False,False,False,vertical
2.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-2.1093715902432693,-2.1093715902432693,0.0,WELD_FOUND,0.0,0.0,False,False,False,False,False,vertical
2.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-2.1093715902432693,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
2.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-2.1093715902432693,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
2.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-2.1093715902432693,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
2.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-2.1093715902432693,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
2.566,0.04800418810645916,0.05,0.05550418810645916,0.04050418810645916,0.0,0.0,0.0555,0.0405,0,0,0.0,0.0,-1.4062466240378864,-1.4062466240378864,0.0,WELD_FOUND,0.0,0.0,True,True,False,False,False,vertical
2.616,0.04800418810645916,0.05,0.05550418810645916,0.04050418810645916,0.0,0.0,0.0555,0.0405,0,0,0.0,0.0,-1.4062466240378864,-1.4062466240378864,0.0,WELD_FOUND,0.0,0.0,True,True,False,False,False,vertical
2.666,0.046445996880150976,0.1,0.061445996880150976,0.03144599688015098,0.0,0.0,0.0614,0.0314,0,0,0.0,0.0,-1.7578091605014305,-1.5820278389088056,-0.17578132159262494,WELD_FOUND,0.0,0.0,True,True,False,False,False,vertical
2.716,0.046445996880150976,0.1,0.061445996880150976,0.03144599688015098,0.0074,0.0,0.054,0.0314,3,0,0.0028,0.0,-1.7578091605014305,-1.5820278389088056,-0.17578132159262494,WELD_FOUND,0.7062,0.0,False,True,False,False,False,vertical
2.766,0.0,0.0,0.0,0.0,0.0074,0.0,-0.0074,0.0,3,0,0.0028,0.0,-1.7578091605014305,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
2.816,0.0,0.0,0.0,0.0,0.0074,0.0,-0.0074,0.0,6,0,0.0056,0.0,-1.7578091605014305,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
2.866,0.0,0.0,0.0,0.0,0.0119,0.0,-0.0119,0.0,6,0,0.0056,0.0,-1.7578091605014305,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
2.916,0.0,0.0,0.0,0.0,0.0119,0.0,-0.0119,0.0,5,0,0.0046,0.0,-1.7578091605014305,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
2.966,0.0,0.0,0.0,0.0,0.0119,0.0,-0.0119,0.0,5,0,0.0046,0.0,-1.7578091605014305,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.016,0.0,0.0,0.0,0.0,0.0046,0.0,-0.0046,0.0,5,0,0.0046,0.0,-1.7578091605014305,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.068,0.0,0.0,0.0,0.0,0.0046,0.0,-0.0046,0.0,5,0,0.0046,0.0,-1.7578091605014305,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.116,0.0,0.0,0.0,0.0,0.0046,0.0,-0.0046,0.0,5,0,0.0046,0.0,-1.7578091605014305,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.166,0.0,0.0,0.0,0.0,0.0037,0.0,-0.0037,0.0,5,0,0.0046,0.0,-1.7578091605014305,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.216,0.0,0.0,0.0,0.0,0.0037,0.0,-0.0037,0.0,5,0,0.0046,0.0,-1.7578091605014305,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.266,0.0,0.0,0.0,0.0,0.003,0.0,-0.003,0.0,5,0,0.0046,0.0,-1.7578091605014305,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.316,0.0,0.0,0.0,0.0,0.003,0.0,-0.003,0.0,5,0,0.0046,0.0,-1.7578091605014305,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.366,0.0,0.0,0.0,0.0,0.0024,0.0,-0.0024,0.0,5,0,0.0046,0.0,-1.7578091605014305,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.416,0.0,0.0,0.0,0.0,0.0024,0.0,-0.0024,0.0,5,0,0.0046,0.0,-1.7578091605014305,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.466,0.0,0.0,0.0,0.0,0.0024,0.0,-0.0024,0.0,5,0,0.0046,0.0,-1.7578091605014305,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.516,0.0,0.0,0.0,0.0,0.0019,0.0,-0.0019,0.0,5,0,0.0046,0.0,-1.7578091605014305,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.566,0.05201213990251219,0.05,0.05951213990251219,0.04451213990251219,0.0019,0.0,0.0576,0.0445,5,0,0.0046,0.0,-1.0546840875743422,-1.0546840875743422,0.0,WELD_FOUND,0.0,0.6278,True,False,False,False,False,vertical
3.616,0.05201213990251219,0.05,0.05951213990251219,0.04451213990251219,0.0015,0.0,0.058,0.0445,5,0,0.0046,0.0,-1.0546840875743422,-1.0546840875743422,0.0,WELD_FOUND,0.0,0.6278,True,False,False,False,False,vertical
3.666,0.05201213990251219,0.07363083958625793,0.06305676584045088,0.0409675139645735,0.0015,0.0,0.0615,0.041,5,0,0.0046,0.0,-1.0546840875743422,-1.0546840875743422,0.0,WELD_FOUND,0.0,0.6114,True,False,False,False,False,vertical
3.716,0.05201213990251219,0.07363083958625793,0.06305676584045088,0.0409675139645735,0.0157,0.0,0.0473,0.041,9,0,0.0083,0.0,-1.0546840875743422,-1.0546840875743422,0.0,WELD_FOUND,0.7137,0.6114,False,False,False,False,False,vertical
3.766,0.0,0.0,0.0,0.0,0.0157,0.0,-0.0157,0.0,9,0,0.0083,0.0,-1.0546840875743422,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.816,0.0,0.0,0.0,0.0,0.0391,0.0,-0.0391,0.0,17,0,0.0158,0.0,-1.0546840875743422,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.866,0.0,0.0,0.0,0.0,0.0391,0.0,-0.0391,0.0,17,0,0.0158,0.0,-1.0546840875743422,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.916,0.0,0.0,0.0,0.0,0.016,0.0,-0.016,0.0,15,0,0.0139,0.0,-1.0546840875743422,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
3.966,0.045676541068263195,0.05,0.053176541068263194,0.038176541068263195,0.016,0.0,0.0371,0.0382,15,0,0.0139,0.0,-1.7578091605014305,-1.7578091605014305,0.0,WELD_FOUND,0.6679,0.595,False,False,False,False,False,vertical
4.016,0.045676541068263195,0.05,0.053176541068263194,0.038176541068263195,0.0128,0.0,0.0403,0.0382,15,0,0.0139,0.0,-1.7578091605014305,-1.7578091605014305,0.0,WELD_FOUND,0.6679,0.595,False,False,False,False,False,vertical
4.068,0.0,0.0,0.0,0.0,0.0128,0.0,-0.0128,0.0,15,0,0.0139,0.0,-1.7578091605014305,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
4.116,0.0,0.0,0.0,0.0,0.0485,0.0,-0.0485,0.0,26,0,0.0241,0.0,-1.7578091605014305,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
4.166,0.0,0.0,0.0,0.0,0.0485,0.0,-0.0485,0.0,26,0,0.0241,0.0,-1.7578091605014305,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
4.216,0.0,0.0,0.0,0.0,0.0485,0.0,-0.0485,0.0,24,0,0.0222,0.0,-1.7578091605014305,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
4.266,0.0414863630561431,0.05,0.0489863630561431,0.0339863630561431,0.0241,0.0,0.0248,0.034,24,0,0.0222,0.0,-2.1093715902432693,-2.1093715902432693,0.0,WELD_FOUND,0.6485,0.5297,False,False,False,False,False,vertical
4.316,0.0414863630561431,0.05,0.0489863630561431,0.0339863630561431,0.0241,0.0,0.0248,0.034,24,0,0.0222,0.0,-2.1093715902432693,-2.1093715902432693,0.0,WELD_FOUND,0.6485,0.5297,False,False,False,False,False,vertical
4.366,0.0,0.0,0.0,0.0,0.0241,0.0,-0.0241,0.0,24,0,0.0222,0.0,-2.1093715902432693,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
4.416,0.0,0.0,0.0,0.0,0.0343,0.0,-0.0343,0.0,32,0,0.0297,0.0,-2.1093715902432693,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
4.466,0.037831719167867484,0.05,0.04533171916786748,0.030331719167867484,0.0343,0.0,0.0111,0.0303,32,0,0.0297,0.0,-2.460934233428519,-2.460934233428519,0.0,WELD_FOUND,0.6316,0.4727,False,False,False,False,False,vertical
4.516,0.037831719167867484,0.05,0.04533171916786748,0.030331719167867484,0.0274,0.0,0.0179,0.0303,32,0,0.0297,0.0,-2.460934233428519,-2.460934233428519,0.0,WELD_FOUND,0.6316,0.4727,False,False,False,False,False,vertical
4.566,0.035752337013676264,0.1,0.05075233701367626,0.020752337013676264,0.0274,0.0,0.0233,0.0208,32,0,0.0297,0.0,-2.8124966631703576,-2.6367153415777325,-0.17578132159262516,WELD_FOUND,0.6567,0.3234,False,False,False,False,False,vertical
4.616,0.035752337013676264,0.1,0.05075233701367626,0.020752337013676264,0.0274,0.0,0.0233,0.0208,39,0,0.0361,0.0,-2.8124966631703576,-2.6367153415777325,-0.17578132159262516,WELD_FOUND,0.6567,0.3234,False,False,False,False,False,vertical
