t,vx,wz,tgt_r,tgt_l,spd_r,spd_l,err_r,err_l,ticks_r,ticks_l,dist_r,dist_l,raw_angle,filtered_angle,error,weld,ff_r,ff_l,kickstart_r,kickstart_l,holding_r,holding_l,manual_pwm_mode,surface_mode
2.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,False,False,False,horizontal
2.166,0.0,-0.3,-0.045,0.045,0.0,0.0,-0.045,0.045,0,0,0.0,0.0,16.523441668385814,16.523441668385814,0.0,WELD_FOUND,0.0,0.0,True,True,False,False,False,horizontal
2.216,0.0,-0.3,-0.045,0.045,0.0,0.0,-0.045,0.045,0,0,0.0,0.0,16.523441668385814,16.523441668385814,0.0,WELD_FOUND,0.0,0.0,True,True,False,False,False,horizontal
2.266,0.0,-0.3,-0.045,0.045,0.0,0.0,-0.045,0.045,0,0,0.0,0.0,18.281254030538417,18.281254030538417,0.0,WELD_FOUND,0.0,0.0,True,True,False,False,False,horizontal
2.317,0.0,-0.3,-0.045,0.045,0.0,0.0,-0.045,0.045,-1,0,0.0009,0.0,18.281254030538417,18.281254030538417,0.0,WELD_FOUND,0.0,0.0,True,True,False,False,False,horizontal
2.366,0.0,-0.3,-0.045,0.045,-0.0037,0.0,-0.0413,0.045,-1,0,0.0009,0.0,17.226566954756315,17.226566954756315,0.0,WELD_FOUND,0.2679,0.0,False,True,False,False,False,horizontal
2.416,0.0,-0.3,-0.045,0.045,-0.0037,0.0,-0.0413,0.045,-3,0,0.0028,0.0,17.226566954756315,17.226566954756315,0.0,WELD_FOUND,0.2679,0.0,False,True,False,False,False,horizontal
2.466,0.0,-0.3,-0.045,0.045,-0.0037,0.0,-0.0413,0.045,-3,0,0.0028,0.0,18.281254030538417,18.281254030538417,0.0,WELD_FOUND,0.2679,0.0,False,True,False,False,False,horizontal
2.517,0.0,-0.3,-0.045,0.045,-0.0047,0.0,-0.0403,0.045,-2,0,0.0019,0.0,18.281254030538417,18.281254030538417,0.0,WELD_FOUND,0.2679,0.2679,False,False,False,False,False,horizontal
2.566,0.0,-0.3,-0.045,0.045,-0.0047,0.0,-0.0403,0.045,-2,0,0.0019,0.0,16.17187817142692,16.17187817142692,0.0,WELD_FOUND,0.2679,0.2679,False,False,False,False,False,horizontal
2.616,0.0,-0.3,-0.045,0.045,-0.0047,0.0,-0.0403,0.045,-2,0,0.0019,0.0,16.17187817142692,16.17187817142692,0.0,WELD_FOUND,0.2679,0.2679,False,False,False,False,False,horizontal
2.666,0.0,-0.3,-0.045,0.045,-0.0038,0.0,-0.0412,0.045,-2,0,0.0019,0.0,17.226566954756315,17.226566954756315,0.0,WELD_FOUND,0.2679,0.2679,False,False,False,False,False,horizontal
2.717,0.0,-0.3,-0.045,0.045,-0.0038,0.0,-0.0412,0.045,-2,0,0.0019,0.0,17.226566954756315,17.226566954756315,0.0,WELD_FOUND,0.2679,0.2679,False,False,False,False,False,horizontal
2.766,0.0,-0.3,-0.045,0.045,-0.003,0.0,-0.042,0.045,-2,0,0.0019,0.0,18.281254030538417,18.281254030538417,0.0,WELD_FOUND,0.2679,0.2679,False,False,False,False,False,horizontal
2.817,0.0,-0.3,-0.045,0.045,-0.003,0.0,-0.042,0.045,-2,0,0.0019,0.0,18.281254030538417,18.281254030538417,0.0,WELD_FOUND,0.2679,0.2679,False,False,False,False,False,horizontal
2.866,0.0,-0.3,-0.045,0.045,-0.003,0.0,-0.042,0.045,-2,0,0.0019,0.0,18.281254030538417,18.281254030538417,0.0,WELD_FOUND,0.2679,0.2679,False,False,False,False,False,horizontal
2.916,0.0,-0.3,-0.045,0.045,-0.0024,0.0,-0.0426,0.045,-2,0,0.0019,0.0,18.281254030538417,18.281254030538417,0.0,WELD_FOUND,0.2679,0.2679,False,False,False,False,False,horizontal
2.966,0.0,-0.3,-0.045,0.045,-0.0024,0.0,-0.0426,0.045,-2,0,0.0019,0.0,17.226566954756315,17.226566954756315,0.0,WELD_FOUND,0.2679,0.2679,False,False,False,False,False,horizontal
3.017,0.0,-0.3,-0.045,0.045,-0.0019,0.0,-0.0431,0.045,-2,0,0.0019,0.0,17.929692241126816,17.929692241126816,0.0,WELD_FOUND,0.2679,0.2679,False,False,False,False,False,horizontal
3.068,0.0,-0.3,-0.045,0.045,-0.0019,0.0,-0.0431,0.045,-2,0,0.0019,0.0,17.929692241126816,17.929692241126816,0.0,WELD_FOUND,0.2679,0.2679,False,False,False,False,False,horizontal
