t,vx,wz,tgt_r,tgt_l,spd_r,spd_l,err_r,err_l,ticks_r,ticks_l,dist_r,dist_l,raw_angle,filtered_angle,error,weld
2.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,NO_WELD
2.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,NO_WELD
2.225,0.005,-0.05,-0.0024999999999999996,0.0125,0.0,0.0,-0.0025,0.0125,0,0,0.0,0.0,9.140628722816501,9.140628722816501,0.0,WELD_FOUND
2.275,0.005,-0.05,-0.0024999999999999996,0.0125,0.0,0.0,-0.0025,0.0125,0,0,0.0,0.0,9.140628722816501,9.140628722816501,0.0,WELD_FOUND
2.325,0.005,-0.1,-0.009999999999999998,0.02,0.0,0.0,-0.01,0.02,0,1,0.0,0.0009,7.382816360663898,8.2617225417402,-0.8789061810763021,WELD_FOUND
2.375,0.005,-0.1,-0.009999999999999998,0.02,0.0,0.0025,-0.01,0.0175,0,1,0.0,0.0009,7.382816360663898,8.2617225417402,-0.8789061810763021,WELD_FOUND
2.425,0.005,-0.15000000000000002,-0.0175,0.027500000000000004,0.0,0.0025,-0.0175,0.025,1,2,0.0009,0.0019,7.031253717478648,7.382816360663898,-0.3515626431852503,WELD_FOUND
2.475,0.005,-0.15000000000000002,-0.0175,0.027500000000000004,0.0,0.0025,-0.0175,0.025,1,2,0.0009,0.0019,7.031253717478648,7.382816360663898,-0.3515626431852503,WELD_FOUND
2.525,0.005,-0.2,-0.024999999999999998,0.034999999999999996,0.0025,0.0089,-0.0275,0.0261,1,4,0.0009,0.0037,6.328128431108148,7.207034612184449,-0.8789061810763013,WELD_FOUND
2.575,0.005,-0.2,-0.024999999999999998,0.034999999999999996,0.0025,0.0089,-0.0275,0.0261,1,4,0.0009,0.0037,6.328128431108148,7.207034612184449,-0.8789061810763013,WELD_FOUND
2.625,0.0,0.0,0.0,0.0,0.0025,0.0089,-0.0025,-0.0089,2,5,0.0019,0.0046,6.328128431108148,nan,nan,NO_WELD
2.675,0.0,0.0,0.0,0.0,0.004,0.0078,-0.004,-0.0078,2,5,0.0019,0.0046,6.328128431108148,nan,nan,NO_WELD
2.725,0.010396429482355144,-0.05,0.0028964294823551444,0.017896429482355144,0.004,0.0078,-0.0011,0.0101,2,6,0.0019,0.0056,3.8671912094718666,3.8671912094718666,0.0,WELD_FOUND
2.775,0.010396429482355144,-0.05,0.0028964294823551444,0.017896429482355144,0.004,0.0078,-0.0011,0.0101,2,6,0.0019,0.0056,3.8671912094718666,3.8671912094718666,0.0,WELD_FOUND
2.825,0.0,0.0,0.0,0.0,0.0032,0.0096,-0.0032,-0.0096,2,7,0.0019,0.0065,3.8671912094718666,nan,nan,NO_WELD
2.875,0.0,0.0,0.0,0.0,0.0032,0.0096,-0.0032,-0.0096,2,7,0.0019,0.0065,3.8671912094718666,nan,nan,NO_WELD
2.925,0.011431534073541536,-0.05,0.003931534073541536,0.018931534073541534,0.0025,0.0077,0.0014,0.0112,2,7,0.0019,0.0065,4.218753425770293,4.218753425770293,0.0,WELD_FOUND
2.975,0.011431534073541536,-0.05,0.003931534073541536,0.018931534073541534,0.0025,0.0077,0.0014,0.0112,2,7,0.0019,0.0065,4.218753425770293,4.218753425770293,0.0,WELD_FOUND
3.025,0.014026341278034055,-0.1,-0.0009736587219659441,0.029026341278034055,0.0025,0.0077,-0.0035,0.0213,2,7,0.0019,0.0065,2.812503493359528,3.5156285662866162,-0.7031250729270884,WELD_FOUND
