t,vx,wz,tgt_r,tgt_l,spd_r,spd_l,err_r,err_l,ticks_r,ticks_l,dist_r,dist_l,raw_angle,filtered_angle,error,weld,ff_r,ff_l,kickstart_r,kickstart_l,holding_r,holding_l,manual_pwm_mode,surface_mode
2.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-0.35155909468853286,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
2.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-0.35155909468853286,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
2.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1.0546840875743422,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
2.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1.0546840875743422,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
2.314,0.04160003567811577,0.05,0.04910003567811577,0.03410003567811577,0.0,0.0,0.0491,0.0341,0,0,0.0,0.0,3.4150945850063755e-06,-1.9999965694126816,1.9999999845072665,WELD_FOUND,0.0,0.0,True,True,False,False,False,vertical
2.364,0.04160003567811577,0.05,0.04910003567811577,0.03410003567811577,0.0,0.0,0.0491,0.0341,0,0,0.0,0.0,3.4150945850063755e-06,-1.9999965694126816,1.9999999845072665,WELD_FOUND,0.0,0.0,True,True,False,False,False,vertical
2.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,3.4150945850063755e-06,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
2.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0009,0.0009,3.4150945850063755e-06,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
2.514,0.0,0.0,0.0,0.0,0.0099,0.0025,-0.0099,-0.0025,4,1,0.0037,0.0009,3.4150945850063755e-06,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
2.564,0.0,0.0,0.0,0.0,0.0099,0.0025,-0.0099,-0.0025,4,1,0.0037,0.0009,3.4150945850063755e-06,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,vertical
