t,vx,wz,tgt_r,tgt_l,spd_r,spd_l,err_r,err_l,ticks_r,ticks_l,dist_r,dist_l,raw_angle,filtered_angle,error,weld,ff_r,ff_l,kickstart_r,kickstart_l,holding_r,holding_l,manual_pwm_mode,surface_mode
2.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN,0.0,0.0,False,False,False,False,False,horizontal
2.182,0.05217569423254784,-0.07413088404932008,0.041056061625149826,0.06329532683994585,0.0,0.0,0.0411,0.0633,0,0,0.0,0.0,1.4062534542270564,1.054690917763512,0.3515625364635444,WELD_FOUND,0.0,0.0,True,True,False,False,False,horizontal
2.232,0.05217569423254784,-0.07413088404932008,0.041056061625149826,0.06329532683994585,0.0,0.0,0.0411,0.0633,0,0,0.0,0.0,1.4062534542270564,1.054690917763512,0.3515625364635444,WELD_FOUND,0.0,0.0,True,True,False,False,False,horizontal
2.282,0.05204476666659216,-0.07372766064105689,0.04098561757043363,0.06310391576275069,0.0,0.0,0.041,0.0631,0,0,0.0,0.0,1.4062534542270564,1.054690917763512,0.3515625364635444,WELD_FOUND,0.0,0.0,True,True,False,False,False,horizontal
2.332,0.05204476666659216,-0.07372766064105689,0.04098561757043363,0.06310391576275069,0.0,0.0,0.041,0.0631,5,4,0.0046,0.0037,1.4062534542270564,1.054690917763512,0.3515625364635444,WELD_FOUND,0.0,0.0,True,True,False,False,False,horizontal
2.383,0.0,0.0,0.0,0.0,0.0185,0.0148,-0.0185,-0.0148,5,4,0.0046,0.0037,1.4062534542270564,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,horizontal
2.432,0.0,0.0,0.0,0.0,0.0185,0.0148,-0.0185,-0.0148,18,17,0.0167,0.0158,1.4062534542270564,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,horizontal
2.482,0.0,0.0,0.0,0.0,0.0185,0.0148,-0.0185,-0.0148,18,17,0.0167,0.0158,1.4062534542270564,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,horizontal
2.532,0.0,0.0,0.0,0.0,0.0581,0.0583,-0.0581,-0.0583,24,24,0.0222,0.0222,1.4062534542270564,nan,nan,NO_WELD,0.0,0.0,False,False,False,False,False,horizontal
2.582,0.05534085100864566,-0.05,0.04784085100864566,0.06284085100864566,0.0581,0.0583,-0.0102,0.0045,24,24,0.0222,0.0222,0.7031284346608206,0.7031284346608206,0.0,WELD_FOUND,0.2848,0.3741,False,False,False,False,False,horizontal
2.632,0.05534085100864566,-0.05,0.04784085100864566,0.06284085100864566,0.0581,0.0583,-0.0102,0.0045,24,24,0.0222,0.0222,0.7031284346608206,0.7031284346608206,0.0,WELD_FOUND,0.2848,0.3741,False,False,False,False,False,horizontal
2.682,0.05601221110322637,-0.04860493945601325,0.04872147018482438,0.06330295202162836,0.0465,0.0467,0.0023,0.0166,24,24,0.0222,0.0222,0.7031284346608206,0.7031284346608206,0.0,WELD_FOUND,0.29,0.3768,False,False,False,False,False,horizontal
2.732,0.05601221110322637,-0.04860493945601325,0.04872147018482438,0.06330295202162836,0.0465,0.0467,0.0023,0.0166,25,26,0.0232,0.0241,0.7031284346608206,0.7031284346608206,0.0,WELD_FOUND,0.29,0.3768,False,False,False,False,False,horizontal
2.782,0.056146968851189305,-0.04898701991726654,0.04879891586359932,0.06349502183877928,0.0316,0.0354,0.0172,0.0281,25,26,0.0232,0.0241,0.35156592487770283,0.7031284346608206,-0.3515625097831178,WELD_FOUND,0.2905,0.3779,False,False,False,False,False,horizontal
2.832,0.056146968851189305,-0.04898701991726654,0.04879891586359932,0.06349502183877928,0.0316,0.0354,0.0172,0.0281,32,33,0.0297,0.0306,0.35156592487770283,0.7031284346608206,-0.3515625097831178,WELD_FOUND,0.2905,0.3779,False,False,False,False,False,horizontal
2.882,0.056146968851189305,-0.04898701991726654,0.04879891586359932,0.06349502183877928,0.0316,0.0354,0.0172,0.0281,32,33,0.0297,0.0306,0.35156592487770283,0.5273471664290486,-0.17578124155134572,WELD_FOUND,0.2905,0.3779,False,False,False,False,False,horizontal
2.933,0.056146968851189305,-0.04898701991726654,0.04879891586359932,0.06349502183877928,0.056,0.0608,-0.0072,0.0027,40,42,0.0371,0.0389,0.35156592487770283,0.5273471664290486,-0.17578124155134572,WELD_FOUND,0.2905,0.3779,False,False,False,False,False,horizontal
2.982,0.056146968851189305,-0.04898701991726654,0.04879891586359932,0.06349502183877928,0.056,0.0608,-0.0072,0.0027,40,42,0.0371,0.0389,0.35156592487770283,0.35156592487770283,0.0,WELD_FOUND,0.2905,0.3779,False,False,False,False,False,horizontal
3.033,0.056146968851189305,-0.04898701991726654,0.04879891586359932,0.06349502183877928,0.067,0.0698,-0.0182,-0.0063,49,51,0.0454,0.0473,0.35156592487770283,0.35156592487770283,0.0,WELD_FOUND,0.2905,0.3779,False,False,False,False,False,horizontal
3.084,0.056146968851189305,-0.04898701991726654,0.04879891586359932,0.06349502183877928,0.067,0.0698,-0.0182,-0.0063,49,51,0.0454,0.0473,3.4150945850063755e-06,0.35156592487770283,-0.3515625097831178,WELD_FOUND,0.2905,0.3779,False,False,False,False,False,horizontal
3.132,0.06040391736768326,0.017900186197546006,0.06308894529731517,0.05771888943805136,0.067,0.0698,-0.0039,-0.0121,55,58,0.051,0.0538,3.4150945850063755e-06,0.35156592487770283,-0.3515625097831178,WELD_FOUND,0.3755,0.3436,False,False,False,False,False,horizontal
3.182,0.060488761683437434,-0.024127175519740807,0.05686968535547631,0.06410783801139855,0.055,0.0592,0.0018,0.0049,55,58,0.051,0.0538,-0.35155909468853286,0.35156592487770283,-0.7031250195662357,WELD_FOUND,0.3385,0.3816,False,False,False,False,False,horizontal
3.232,0.060488761683437434,-0.024127175519740807,0.05686968535547631,0.06410783801139855,0.055,0.0592,0.0018,0.0049,59,63,0.0547,0.0584,-0.35155909468853286,0.35156592487770283,-0.7031250195662357,WELD_FOUND,0.3385,0.3816,False,False,False,False,False,horizontal
3.282,0.065,0.0,0.065,0.065,0.0478,0.0541,0.0172,0.0109,59,63,0.0547,0.0584,-0.35155909468853286,3.4150945850063755e-06,-0.35156250978311787,WELD_FOUND,0.3869,0.3869,False,False,False,False,False,horizontal
3.332,0.065,0.0,0.065,0.065,0.0478,0.0541,0.0172,0.0109,65,69,0.0602,0.0639,-0.35155909468853286,3.4150945850063755e-06,-0.35156250978311787,WELD_FOUND,0.3869,0.3869,False,False,False,False,False,horizontal
3.382,0.06157386488686792,0.02568081747344436,0.06542598750788457,0.057721742265851264,0.0478,0.0541,0.0176,0.0037,65,69,0.0602,0.0639,-0.35155909468853286,-0.35155909468853286,0.0,WELD_FOUND,0.3894,0.3436,False,False,False,False,False,horizontal
3.432,0.06157386488686792,0.02568081747344436,0.06542598750788457,0.057721742265851264,0.0658,0.067,-0.0004,-0.0093,74,77,0.0686,0.0714,-0.35155909468853286,-0.35155909468853286,0.0,WELD_FOUND,0.3894,0.3436,False,False,False,False,False,horizontal
3.482,0.06072208558818181,0.025124320118758283,0.06449073360599555,0.05695343757036807,0.0658,0.067,-0.0013,-0.0101,74,77,0.0686,0.0714,-0.35155909468853286,-0.35155909468853286,0.0,WELD_FOUND,0.3839,0.339,False,False,False,False,False,horizontal
3.532,0.06072208558818181,0.025124320118758283,0.06449073360599555,0.05695343757036807,0.0691,0.0699,-0.0046,-0.0129,82,85,0.076,0.0788,-0.35155909468853286,-0.35155909468853286,0.0,WELD_FOUND,0.3839,0.339,False,False,False,False,False,horizontal
3.582,0.060552441644189846,0.024656294006101708,0.0642508857451051,0.05685399754327459,0.0691,0.0699,-0.0049,-0.013,82,85,0.076,0.0788,-0.35155909468853286,-0.35155909468853286,0.0,WELD_FOUND,0.3824,0.3384,False,False,False,False,False,horizontal
3.632,0.060552441644189846,0.024656294006101708,0.0642508857451051,0.05685399754327459,0.0691,0.0699,-0.0049,-0.013,88,91,0.0816,0.0843,-0.35155909468853286,-0.35155909468853286,0.0,WELD_FOUND,0.3824,0.3384,False,False,False,False,False,horizontal
3.682,0.06051854133202125,0.02456767725854317,0.06420369292080273,0.05683338974323978,0.0563,0.0568,0.0079,0.0001,88,91,0.0816,0.0843,-0.35155909468853286,-0.35155909468853286,0.0,WELD_FOUND,0.3822,0.3383,False,False,False,False,False,horizontal
3.732,0.06051854133202125,0.02456767725854317,0.06420369292080273,0.05683338974323978,0.0563,0.0568,0.0079,0.0001,94,97,0.0871,0.0899,-0.35155909468853286,-0.35155909468853286,0.0,WELD_FOUND,0.3822,0.3383,False,False,False,False,False,horizontal
3.783,0.06051176240865274,0.0245481539617448,0.06419398550291446,0.05682953931439102,0.056,0.0563,0.0082,0.0006,94,97,0.0871,0.0899,-0.7031216044716506,-0.35155909468853286,-0.35156250978311776,WELD_FOUND,0.3821,0.3383,False,False,False,False,False,horizontal
3.832,0.06051176240865274,0.0245481539617448,0.06419398550291446,0.05682953931439102,0.056,0.0563,0.0082,0.0006,101,103,0.0936,0.0955,-0.7031216044716506,-0.35155909468853286,-0.35156250978311776,WELD_FOUND,0.3821,0.3383,False,False,False,False,False,horizontal
3.882,0.06051040666954164,0.02454441362666922,0.06419206871354202,0.05682874462554126,0.056,0.0563,0.0082,0.0006,101,103,0.0936,0.0955,-0.35155909468853286,-0.35155909468853286,0.0,WELD_FOUND,0.3821,0.3383,False,False,False,False,False,horizontal
3.932,0.06051040666954164,0.02454441362666922,0.06419206871354202,0.05682874462554126,0.0682,0.0659,-0.004,-0.0091,108,110,0.1001,0.1019,-0.35155909468853286,-0.35155909468853286,0.0,WELD_FOUND,0.3821,0.3383,False,False,False,False,False,horizontal
3.982,0.060510135523541925,0.024543636537214742,0.06419168100412413,0.05682859004295971,0.0682,0.0659,-0.004,-0.0091,108,110,0.1001,0.1019,-0.35155909468853286,-0.35155909468853286,0.0,WELD_FOUND,0.3821,0.3383,False,False,False,False,False,horizontal
4.032,0.060510135523541925,0.024543636537214742,0.06419168100412413,0.05682859004295971,0.0682,0.0659,-0.004,-0.0091,115,117,0.1066,0.1084,-0.35155909468853286,-0.35155909468853286,0.0,WELD_FOUND,0.3821,0.3383,False,False,False,False,False,horizontal
4.084,0.06051008129441488,0.02454349376816772,0.06419160535964004,0.056828557229189725,0.0582,0.0569,0.006,-0.0,115,117,0.1066,0.1084,-0.35155909468853286,-0.35155909468853286,0.0,WELD_FOUND,0.3821,0.3383,False,False,False,False,False,horizontal
4.132,0.06051008129441488,0.02454349376816772,0.06419160535964004,0.056828557229189725,0.0582,0.0569,0.006,-0.0,121,123,0.1121,0.114,-0.35155909468853286,-0.35155909468853286,0.0,WELD_FOUND,0.3821,0.3383,False,False,False,False,False,horizontal
4.182,0.060510070448592385,0.024543462317949582,0.06419158979628482,0.056828551100899946,0.0572,0.0564,0.007,0.0005,121,123,0.1121,0.114,-0.35155909468853286,-0.35155909468853286,0.0,WELD_FOUND,0.3821,0.3383,False,False,False,False,False,horizontal
4.232,0.060510070448592385,0.024543462317949582,0.06419158979628482,0.056828551100899946,0.0572,0.0564,0.007,0.0005,129,131,0.1196,0.1214,-0.35155909468853286,-0.35155909468853286,0.0,WELD_FOUND,0.3821,0.3383,False,False,False,False,False,horizontal
4.282,0.060510068279428,0.024543456388097025,0.06419158673764255,0.05682854982121345,0.0572,0.0564,0.007,0.0005,129,131,0.1196,0.1214,-0.7031216044716506,-0.35155909468853286,-0.35156250978311776,WELD_FOUND,0.3821,0.3383,False,False,False,False,False,horizontal
4.332,0.060510068279428,0.024543456388097025,0.06419158673764255,0.05682854982121345,0.0739,0.0709,-0.0097,-0.0141,137,138,0.127,0.1279,-0.7031216044716506,-0.35155909468853286,-0.35156250978311776,WELD_FOUND,0.3821,0.3383,False,False,False,False,False,horizontal
4.382,0.06051006784559514,0.02454345517033184,0.06419158612114492,0.056828549570045364,0.0739,0.0709,-0.0097,-0.0141,137,138,0.127,0.1279,-0.7031216044716506,-0.35155909468853286,-0.35156250978311776,WELD_FOUND,0.3821,0.3383,False,False,False,False,False,horizontal
