t,vx,wz,tgt_r,tgt_l,spd_r,spd_l,err_r,err_l,ticks_r,ticks_l,dist_r,dist_l,raw_angle,filtered_angle,error,weld
2.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,nan,nan,UNKNOWN
2.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,5.625003571624471,nan,NO_WELD
2.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,5.625003571624471,nan,NO_WELD
2.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,4.5703160689555435,nan,NO_WELD
2.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,4.5703160689555435,nan,NO_WELD
2.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,-1.0546840875743422,nan,NO_WELD
2.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,-1.0546840875743422,nan,NO_WELD
2.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,-0.7031216044716506,nan,NO_WELD
2.546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,-0.7031216044716506,nan,NO_WELD
2.596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,-0.35155909468853286,nan,NO_WELD
2.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,-0.35155909468853286,nan,NO_WELD
2.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,0.35156592487770283,nan,WELD_FOUND
2.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,0.35156592487770283,nan,WELD_FOUND
2.796,0.035,0.0,0.035,0.035,0.0,0.0,0.035,0.035,0,0,0.0,0.0,nan,-0.17577783979697392,nan,WELD_FOUND
2.847,0.035,0.0,0.035,0.035,0.0,0.0,0.035,0.035,0,0,0.0,0.0,nan,-0.17577783979697392,nan,WELD_FOUND
2.896,0.030941446165075485,0.041719588910897776,0.037199384501710155,0.02468350782844082,0.0111,0.0148,0.0261,0.0099,3,4,0.0028,0.0037,nan,-0.7031216044716506,nan,WELD_FOUND
2.946,0.030941446165075485,0.041719588910897776,0.037199384501710155,0.02468350782844082,0.0111,0.0148,0.0261,0.0099,3,4,0.0028,0.0037,nan,-0.7031216044716506,nan,WELD_FOUND
2.996,0.0,0.0,0.0,0.0,0.0111,0.0148,-0.0111,-0.0148,9,10,0.0083,0.0093,nan,nan,nan,NO_WELD
3.046,0.0,0.0,0.0,0.0,0.0215,0.0237,-0.0215,-0.0237,9,10,0.0083,0.0093,nan,nan,nan,NO_WELD
