t,vx,wz,tgt_r,tgt_l,spd_r,spd_l,err_r,err_l,ticks_r,ticks_l,dist_r,dist_l,angle,weld
2.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
2.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
2.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
2.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
2.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
2.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
2.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
2.465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
2.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
2.565,0.0,-0.3,-0.045,0.045,0.0,0.0,-0.045,0.045,0,0,0.0,0.0,12.361060355156575,WELD_FOUND
2.615,0.0,-0.3,-0.045,0.045,0.0,0.0,-0.045,0.045,0,0,0.0,0.0,12.361060355156575,WELD_FOUND
2.665,0.0,-0.3,-0.045,0.045,0.0,0.0,-0.045,0.045,0,0,0.0,0.0,11.225422731105127,WELD_FOUND
2.715,0.0,-0.3,-0.045,0.045,-0.0074,0.0074,-0.0376,0.0376,-3,3,0.0028,0.0028,11.225422731105127,WELD_FOUND
2.765,0.0,-0.3,-0.045,0.045,-0.0074,0.0074,-0.0376,0.0376,-3,3,0.0028,0.0028,12.361060355156575,WELD_FOUND
2.815,0.0,-0.3,-0.045,0.045,-0.0156,0.0193,-0.0294,0.0257,-6,7,0.0056,0.0065,12.361060355156575,WELD_FOUND
2.865,0.0,-0.3,-0.045,0.045,-0.0156,0.0193,-0.0294,0.0257,-6,7,0.0056,0.0065,12.796332943035855,WELD_FOUND
2.915,0.0,-0.3,-0.045,0.045,-0.0205,0.0227,-0.0245,0.0223,-9,10,0.0083,0.0093,12.796332943035855,WELD_FOUND
2.965,0.0,-0.3,-0.045,0.045,-0.0205,0.0227,-0.0245,0.0223,-9,10,0.0083,0.0093,12.364574487484546,WELD_FOUND
3.015,0.0,-0.3,-0.045,0.045,-0.0205,0.0227,-0.0245,0.0223,-12,13,0.0111,0.012,12.364574487484546,WELD_FOUND
3.066,0.0,-0.3,-0.045,0.045,-0.0197,0.021,-0.0253,0.024,-12,13,0.0111,0.012,13.231604677141489,WELD_FOUND
3.115,0.0,-0.3,-0.045,0.045,-0.0197,0.021,-0.0253,0.024,-14,15,0.013,0.0139,13.231604677141489,WELD_FOUND
3.165,0.0,0.0,0.0,0.0,-0.0197,0.021,0.0197,-0.021,-14,15,0.013,0.0139,nan,NO_WELD
3.215,0.0,0.0,0.0,0.0,-0.0217,0.0225,0.0217,-0.0225,-16,17,0.0148,0.0158,nan,NO_WELD
3.265,0.0,-0.3,-0.045,0.045,-0.0217,0.0225,-0.0233,0.0225,-16,17,0.0148,0.0158,14.137105053524882,WELD_FOUND
3.315,0.0,-0.3,-0.045,0.045,-0.0174,0.018,-0.0276,0.027,-16,17,0.0148,0.0158,14.137105053524882,WELD_FOUND
3.365,0.0,-0.3,-0.045,0.045,-0.0174,0.018,-0.0276,0.027,-16,17,0.0148,0.0158,14.048795830198495,WELD_FOUND
3.415,0.0,-0.3,-0.045,0.045,-0.0174,0.018,-0.0276,0.027,-18,19,0.0167,0.0176,14.048795830198495,WELD_FOUND
3.465,0.0,-0.3,-0.045,0.045,-0.0154,0.0157,-0.0296,0.0293,-18,19,0.0167,0.0176,14.137105053524882,WELD_FOUND
3.515,0.0,-0.3,-0.045,0.045,-0.0154,0.0157,-0.0296,0.0293,-21,21,0.0195,0.0195,14.137105053524882,WELD_FOUND
3.565,0.0,-0.3,-0.045,0.045,-0.0154,0.0157,-0.0296,0.0293,-21,21,0.0195,0.0195,14.311966434013671,WELD_FOUND
3.615,0.0,-0.3,-0.045,0.045,-0.0191,0.0218,-0.0259,0.0232,-22,24,0.0204,0.0222,14.311966434013671,WELD_FOUND
3.665,0.0,0.0,0.0,0.0,-0.0191,0.0218,0.0191,-0.0218,-22,24,0.0204,0.0222,nan,NO_WELD
3.715,0.0,0.0,0.0,0.0,-0.0189,0.0205,0.0189,-0.0205,-24,26,0.0222,0.0241,nan,NO_WELD
3.765,0.0,0.0,0.0,0.0,-0.0189,0.0205,0.0189,-0.0205,-24,26,0.0222,0.0241,nan,NO_WELD
3.815,0.0,0.0,0.0,0.0,-0.0151,0.0205,0.0151,-0.0205,-24,26,0.0222,0.0241,nan,NO_WELD
3.865,0.0,0.0,0.0,0.0,-0.0151,0.0164,0.0151,-0.0164,-24,26,0.0222,0.0241,nan,NO_WELD
3.915,0.0,0.0,0.0,0.0,-0.0151,0.0164,0.0151,-0.0164,-24,26,0.0222,0.0241,nan,NO_WELD
3.965,0.0,0.0,0.0,0.0,-0.0121,0.0131,0.0121,-0.0131,-24,26,0.0222,0.0241,12.859805037219138,WELD_FOUND
4.015,0.0,0.0,0.0,0.0,-0.0121,0.0131,0.0121,-0.0131,-24,26,0.0222,0.0241,12.859805037219138,WELD_FOUND
4.066,0.0,-0.3,-0.045,0.045,-0.0121,0.0131,-0.0329,0.0319,-24,26,0.0222,0.0241,11.639372322169272,WELD_FOUND
4.115,0.0,-0.3,-0.045,0.045,-0.0097,0.0105,-0.0353,0.0345,-24,26,0.0222,0.0241,11.639372322169272,WELD_FOUND
4.165,0.0,-0.3,-0.045,0.045,-0.0097,0.0105,-0.0353,0.0345,-24,26,0.0222,0.0241,10.418938753345762,WELD_FOUND
4.215,0.0,-0.3,-0.045,0.045,-0.0097,0.0105,-0.0353,0.0345,-26,28,0.0241,0.0259,10.418938753345762,WELD_FOUND
4.265,0.0,0.0,0.0,0.0,-0.0107,0.0112,0.0107,-0.0112,-26,28,0.0241,0.0259,nan,NO_WELD
