t,vx,wz,tgt_r,tgt_l,spd_r,spd_l,err_r,err_l,ticks_r,ticks_l,dist_r,dist_l,raw_angle,filtered_angle,error,weld,ff_r,ff_l,kickstart_r,kickstart_l
2.112,0.035,0.0,0.035,0.035,0.0,0.0,0.035,0.035,0,0,0.0,0.0,3.4150945850063755e-06,3.4150945850063755e-06,0.0,WELD_FOUND,0.0,0.0,True,True
2.162,0.035,0.0,0.035,0.035,0.0,0.0,0.035,0.035,0,0,0.0,0.0,3.4150945850063755e-06,3.4150945850063755e-06,0.0,WELD_FOUND,0.0,0.0,True,True
2.212,0.035,0.0,0.035,0.035,0.0,0.0,0.035,0.035,2,1,0.0019,0.0009,3.4150945850063755e-06,3.4150945850063755e-06,0.0,WELD_FOUND,0.0,0.0,True,True
2.262,0.035,0.0,0.035,0.035,0.0049,0.0025,0.0301,0.0325,2,1,0.0019,0.0009,3.4150945850063755e-06,3.4150945850063755e-06,0.0,WELD_FOUND,0.2043,0.2043,False,False
2.312,0.035,0.0,0.035,0.035,0.0049,0.0025,0.0301,0.0325,6,4,0.0056,0.0037,0.7031284346608206,3.4150945850063755e-06,0.7031250195662356,WELD_FOUND,0.2043,0.2043,False,False
2.362,0.035,0.0,0.035,0.035,0.0178,0.0025,0.0172,0.0325,6,4,0.0056,0.0037,0.7031284346608206,3.4150945850063755e-06,0.7031250195662356,WELD_FOUND,0.2043,0.2043,False,False
2.412,0.03305891226031913,-0.019618765159025484,0.030116097486465307,0.03600172703417295,0.0178,0.0089,0.0123,0.0271,4,4,0.0037,0.0037,0.7031284346608206,0.35156592487770283,0.3515625097831178,WELD_FOUND,0.1772,0.2087,False,False
2.462,0.03305891226031913,-0.019618765159025484,0.030116097486465307,0.03600172703417295,0.0033,0.0089,0.0269,0.0271,4,4,0.0037,0.0037,0.7031284346608206,0.35156592487770283,0.3515625097831178,WELD_FOUND,0.1772,0.2087,False,False
2.512,0.0,0.0,0.0,0.0,0.0033,0.0089,-0.0033,-0.0089,3,4,0.0028,0.0037,0.7031284346608206,nan,nan,NO_WELD,0.0,0.0,False,False
2.562,0.0,0.0,0.0,0.0,0.0033,0.0071,-0.0033,-0.0071,3,4,0.0028,0.0037,0.7031284346608206,nan,nan,NO_WELD,0.0,0.0,False,False
2.612,0.0,0.0,0.0,0.0,-0.0005,0.0071,0.0005,-0.0071,3,4,0.0028,0.0037,0.7031284346608206,nan,nan,NO_WELD,0.0,0.0,False,False
2.662,0.0,0.0,0.0,0.0,-0.0005,0.0071,0.0005,-0.0071,3,4,0.0028,0.0037,0.7031284346608206,nan,nan,NO_WELD,0.0,0.0,False,False
