t,vx,wz,tgt_r,tgt_l,spd_r,spd_l,err_r,err_l,ticks_r,ticks_l,dist_r,dist_l,angle,weld
2.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
2.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
2.239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
2.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
2.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
2.389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
2.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
2.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
2.539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
2.589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
2.639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
2.689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
2.739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
2.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
2.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
2.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
2.939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
2.989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
3.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
3.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
3.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
3.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
3.239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
3.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
3.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
3.389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
3.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
3.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,nan,UNKNOWN
3.539,0.0,-0.3,-0.045,0.045,0.0,0.0,-0.045,0.045,0,0,0.0,0.0,nan,UNKNOWN
3.589,0.0,-0.3,-0.045,0.045,0.0,0.0,-0.045,0.045,0,1,0.0,0.0009,nan,UNKNOWN
3.639,0.0,-0.3,-0.045,0.045,0.0,0.0025,-0.045,0.0425,0,1,0.0,0.0009,39.381282735311494,COASTING_MEMORY_LOCK
3.689,0.0,-0.3,-0.045,0.045,0.0,0.0025,-0.045,0.0425,1,1,0.0009,0.0009,39.381282735311494,COASTING_MEMORY_LOCK
3.739,0.0,-0.3,-0.045,0.045,0.0037,0.002,-0.0487,0.043,1,1,0.0009,0.0009,33.381282568346286,WELD_FOUND
3.789,0.0,-0.3,-0.045,0.045,0.0037,0.002,-0.0487,0.043,-2,4,0.0019,0.0037,33.381282568346286,WELD_FOUND
3.839,0.0,-0.3,-0.045,0.045,-0.0089,0.0123,-0.0361,0.0327,-2,4,0.0019,0.0037,41.227995132153694,COASTING_MEMORY_LOCK
3.889,0.0,-0.3,-0.045,0.045,-0.0089,0.0123,-0.0361,0.0327,-5,7,0.0046,0.0065,41.227995132153694,COASTING_MEMORY_LOCK
3.939,0.0,-0.3,-0.045,0.045,-0.0089,0.0123,-0.0361,0.0327,-5,7,0.0046,0.0065,35.22799496518848,WELD_FOUND
3.989,0.0,-0.3,-0.045,0.045,-0.0202,0.0222,-0.0248,0.0228,-8,10,0.0074,0.0093,35.22799496518848,WELD_FOUND
4.039,0.0,-0.3,-0.045,0.045,-0.0202,0.0222,-0.0248,0.0228,-8,10,0.0074,0.0093,37.68615272671939,WELD_FOUND
4.091,0.0,-0.3,-0.045,0.045,-0.0232,0.0207,-0.0218,0.0243,-11,12,0.0102,0.0111,37.68615272671939,WELD_FOUND
4.139,0.0,-0.3,-0.045,0.045,-0.0232,0.0207,-0.0218,0.0243,-11,12,0.0102,0.0111,40.888971862510935,WELD_FOUND
4.189,0.0,-0.3,-0.045,0.045,-0.0213,0.0199,-0.0237,0.0251,-13,14,0.012,0.013,40.888971862510935,WELD_FOUND
4.239,0.0,-0.3,-0.045,0.045,-0.0213,0.0199,-0.0237,0.0251,-13,14,0.012,0.013,43.00710914678027,WELD_FOUND
4.289,0.0,-0.3,-0.045,0.045,-0.0213,0.0199,-0.0237,0.0251,-16,16,0.0148,0.0148,43.00710914678027,WELD_FOUND
4.339,0.0,-0.3,-0.045,0.045,-0.0202,0.0169,-0.0248,0.0281,-16,16,0.0148,0.0148,49.00710931374548,COASTING_MEMORY_LOCK
4.389,0.0,-0.3,-0.045,0.045,-0.0202,0.0169,-0.0248,0.0281,-18,18,0.0167,0.0167,49.00710931374548,COASTING_MEMORY_LOCK
4.439,0.0,-0.3,-0.045,0.045,-0.0195,0.0175,-0.0255,0.0275,-18,18,0.0167,0.0167,40.299362612598756,WELD_FOUND
4.489,0.0,-0.3,-0.045,0.045,-0.0195,0.0175,-0.0255,0.0275,-21,21,0.0195,0.0195,40.299362612598756,WELD_FOUND
4.539,0.0,-0.3,-0.045,0.045,-0.0195,0.0175,-0.0255,0.0275,-21,21,0.0195,0.0195,46.29935936446938,COASTING_MEMORY_LOCK
4.589,0.0,-0.3,-0.045,0.045,-0.0265,0.0229,-0.0185,0.0221,-24,23,0.0222,0.0213,46.29935936446938,COASTING_MEMORY_LOCK
