t,vx,wz,tgt_r,tgt_l,spd_r,spd_l,err_r,err_l,ticks_r,ticks_l,dist_r,dist_l,raw_angle,filtered_angle,error,weld
2.117,0.024184159418482766,-0.05,0.016684159418482766,0.031684159418482766,0.0,0.0,0.0167,0.0317,0,0,0.0,0.0,1.7578159906906006,1.7578159906906006,0.0,WELD_FOUND
2.167,0.024184159418482766,-0.05,0.016684159418482766,0.031684159418482766,0.0,0.0,0.0167,0.0317,0,0,0.0,0.0,1.7578159906906006,1.7578159906906006,0.0,WELD_FOUND
2.217,0.0289834780591237,-0.018836195000106786,0.02615804880910768,0.03180890730913972,0.0,0.0,0.0262,0.0318,0,0,0.0,0.0,-0.35155909468853286,0.7031284346608206,-1.0546875293493536,WELD_FOUND
2.267,0.0289834780591237,-0.018836195000106786,0.02615804880910768,0.03180890730913972,0.0,0.0,0.0262,0.0318,0,0,0.0,0.0,-0.35155909468853286,0.7031284346608206,-1.0546875293493536,WELD_FOUND
2.317,0.03184569015246103,-0.00872142961773433,0.030537475709800883,0.03315390459512118,0.0037,0.0074,0.0268,0.0257,1,2,0.0009,0.0019,0.35156592487770283,0.35156592487770283,0.0,WELD_FOUND
2.367,0.03184569015246103,-0.00872142961773433,0.030537475709800883,0.03315390459512118,0.0037,0.0074,0.0268,0.0257,1,2,0.0009,0.0019,0.35156592487770283,0.35156592487770283,0.0,WELD_FOUND
2.417,0.0,0.0,0.0,0.0,0.0208,0.023,-0.0208,-0.023,6,7,0.0056,0.0065,0.35156592487770283,nan,nan,NO_WELD
2.467,0.0,0.0,0.0,0.0,0.0208,0.023,-0.0208,-0.023,6,7,0.0056,0.0065,0.35156592487770283,nan,nan,NO_WELD
2.517,0.02875461190099385,-0.04705519365373755,0.021696332852933216,0.03581289094905448,0.0208,0.023,0.0009,0.0128,11,11,0.0102,0.0102,1.054690917763512,1.054690917763512,0.0,WELD_FOUND
2.567,0.02875461190099385,-0.04705519365373755,0.021696332852933216,0.03581289094905448,0.0248,0.0237,-0.0031,0.0121,11,11,0.0102,0.0102,1.054690917763512,1.054690917763512,0.0,WELD_FOUND
2.617,0.0,0.0,0.0,0.0,0.0248,0.0237,-0.0248,-0.0237,12,12,0.0111,0.0111,1.054690917763512,nan,nan,NO_WELD
2.667,0.0,0.0,0.0,0.0,0.0186,0.0179,-0.0186,-0.0179,12,12,0.0111,0.0111,1.054690917763512,nan,nan,NO_WELD
2.717,0.0,0.0,0.0,0.0,0.0186,0.0179,-0.0186,-0.0179,16,15,0.0148,0.0139,1.054690917763512,nan,nan,NO_WELD
2.767,0.0,0.0,0.0,0.0,0.0186,0.0179,-0.0186,-0.0179,16,15,0.0148,0.0139,1.054690917763512,nan,nan,NO_WELD
